1,"GPS, Logai (Combined)(T)**",Ajmir,9010101,,,131,97,228,2,1,3
"",,,9010102,,,448,393,841,,,
"",,,9010103,,,140,136,276,,,
2,"GMS, Ajmir (Combined)(T)**",Ajmir,9010104,,,395,316,711,1,1,2
"",,,9010105,,,241,190,431,,,
3,"GPS Kuz Ganshal(Combined) (T)**",Ganshal,9010106,,,145,119,264,1,1,2
"",,,9010109,,,488,391,879,,,
"",,,9010110,,,139,124,263,,,
4,"GPS, Bela Kuz Ganshal(Combined) (T)**",Ganshal,9010107,,,360,224,584,1,1,2
"",,,9010108,,,285,224,509,,,
5,"GMS Bar Ganshal(combined) (T)**",Ganshal,9010111,,,287,233,520,1,1,2
"",,,9010112,,,468,376,844,,,
6,"GPS Gardoon No. 1(combined) (T)**",Ganshal,9010113,,,365,286,651,1,1,2
7,"GHSS, Olandar (Combined)(T)**",Bilkanai,9010201,,,1134,871,2005,2,1,3
9010202,,,320,0,320,,,,,,
"",,,9010203,,,1082,0,1082,,,
"",,,9010204,,,743,0,743,,,
9,"GGPS, Bilkanai (Female)(T)**",Bilkanai,9010202,,,0,219,219,0,2,2
"",,,9010203,,,0,764,764,,,
"",,,9010204,,,0,537,537,,,
10,"GPS Smastay (Combined)(T)**","DehraiLarai",9010205,,,399,301,700,1,1,2
11,"GPS, Dehrai Bilkanai(Combined) (T)**","DehraiLarai",9010206,,,536,432,968,1,1,2
12,"GPS, Charai Larai(Combined) (T)**","DehraiLarai",9010207,,,627,402,1029,1,1,2
13,"GMS, Larai (Combined)(T)**","DehraiLarai",9010208,,,805,571,1376,2,1,3
"",,,9010209,,,397,261,658,,,
14,"GPS No. 2 Kekor (Combined) (T)**",Damorai,9010301,,,433,313,746,2,1,3
"",,,9010302,,,587,427,1014,,,
15,"GPS, Faiz Dara (Combined)(T)**",Damorai,9010303,,,764,581,1345,1,1,2
16,"GPS Soor Banr Damorai(Combined) (T)",Damorai,9010304,,,493,389,882,1,1,2
17,"GHS, Damorai (Male) (T)**",Damorai,9010305,,,760,0,760,4,0,4
"",,,9010306,,,794,0,794,,,
"",,,9010307,,,470,0,470,,,
18,"GPS, Damorai (Female)(T)**",Damorai,9010305,,,0,554,554,0,3,3
"",,,9010306,,,0,634,634,,,
"",,,9010307,,,0,363,363,,,
19,"GPS, Karshat (Combined)(T)**",Karshat,9010308,,,1105,859,1964,2,1,3
20,"GGPS, Tanshat (Combined)(T)**",Karshat,9010309,,,991,728,1719,2,1,3
21,GMS Bar Kana (Male) (T)**,Bar Kana,9010401,,,389,0,389,3,0,3
9010402,,,616,0,616,,,,,,
9010403,,,253,0,253,,,,,,
9010404,,,516,0,516,,,,,,
22,"GPS, Bar Kana (Female)(T)**",Bar Kana,9010401,,,0,273,273,0,2,2
"",,,9010402,,,0,458,458,,,
"",,,9010403,,,0,180,180,,,
"",,,9010404,,,0,379,379,,,
23,"GPS,Kandaw Kana(Combined) (T)**",Bar Kana,9010405,,,414,288,702,2,1,3
"",,,9010406,,,726,574,1300,,,
24,"GPS,Quanj Naway KalayShah Pur (Male) (T)**",Shah Pur,9010407,,,461,0,461,3,0,3
"",,,9010412,,,815,0,815,,,
"",,,9010413,,,383,0,383,,,
25,"GGPS, Naway Kalay(Female) (T)**",Shah Pur,9010407,,,0,317,317,0,2,2
"",,,9010412,,,0,639,639,,,
"",,,9010413,,,0,283,283,,,
26,"GPS Bar Hal (Combined)(T)**",Shah Pur,9010408,,,700,502,1202,1,1,2
27,"GHS, Shapur (Male) (P)*",Shah Pur,9010409,,,513,0,513,3,0,3
"",,,9010410,,,1276,0,1276,,,
28,"GHSS, Shapur (Male) (P)*",Shah Pur,9010411,,,789,0,789,2,0,2
29,"GGPS, Shapur (Female)(P)*",Shah Pur,9010409,,,0,386,386,0,3,3
"",,,9010410,,,0,991,991,,,
"",,,9010411,,,0,606,606,,,
30,"GMS, Chichlo (Combined)(T)**",Donai,9010501,,,362,306,668,2,1,3
"",,,9010502,,,554,416,970,,,
31,"GPS, Ambela (Combined)(T)**",Donai,9010503,,,453,437,890,1,1,2
"",,,9010512,187,185,372,,,,,
32,"GPS, Donai (Combined)(T)**",Donai,9010504,,,956,700,1656,2,1,3
"",,,9010513,,,324,345,669,,,
33,"GMS, Sangrai (Combined)(T)**",Sangrai,9010505,,,338,305,643,2,1,3
"",,,9010506,,,524,400,924,,,
34,"GMS, Shatoot (Combined)(T)**",Sangrai,9010507,,,479,387,866,2,1,3
9010508,,,521,411,932,,,,,,
9010509,,,742,0,742,,,,,,
9010510,,,280,0,280,,,,,,
"",,,9010511,,,379,0,379,,,
36,"GGPS, Ranyal (Female)(T)**",Ranyal,9010509,,,0,489,489,0,2,2
"",,,9010510,,,0,230,230,,,
"",,,9010511,,,0,269,269,,,
37,"GGPS, Kuz Kana(Combined) (T)**",Kuz Kana,9010601,,,332,265,597,2,1,3
"",,,9010602,,,369,322,691,,,
"",,,9010603,,,318,213,531,,,
38,"GPS, Burshat (Combined)(T)**",Kuz Kana,9010604,,,829,695,1524,2,2,4
"",,,9010605,,,358,310,668,,,
39,"GHS, Kuz Kana (Combined)(T)**",Kuz Kana,9010607,,,661,531,1192,2,1,3
"",,,9010608,,,228,183,411,,,
40,"GPS Amlook Chelai(Combined) (T)**",Kuz Kana,9010606,,,383,316,699,1,1,2
"",,,9010609,,,174,156,330,,,
41,"GPS, Serai (Combined)(T)**",Serai Kana,9010611,,,427,337,764,2,1,3
"",,,9010612,,,273,210,483,,,
42,"PTCL Exchange, Seria Kana",Seria Kana,9010610,,,493,401,894,2,1,3
43,"GPS, Petaw Dehrai(Combined) (T)**",Pitaw,9010701,,,538,488,1026,2,1,3
"",,,9010702,,,462,416,878,,,
44,"GPS Muslimabad KuzBanjar (Combined) (T)**",Pitaw,9010704,,,314,257,571,1,1,2
45,"GPS Banjar Sir, NaeemShah Koorona",Pitaw,9010703,,,447,410,857,2,1,3
"",,,9010705,,,351,297,648,,,
46,"GPS, Bar Kass Pagorai(Combined) (T)**",Pagorai,9010706,,,359,268,627,2,1,3
"",,,9010707,,,423,343,766,,,
47,"GHS, Pagorai (Combined)(T)**",Pagorai,9010709,,,237,182,419,2,2,4
"",,,9010710,,,387,369,756,,,
48,"GPS, Kass Pagorai",Pagorai,9010708,,,648,514,1162,1,1,2
49,"GPS, Pir Abad (Combined)(T)**",Pir Abad,9010711,,,814,644,1458,2,1,3
"",,,9010715,,,261,219,480,,,
50,"GMS, Mian Kalay (PirAbad) (Combined) (T)**",Pir Abad,9010712,,,413,334,747,2,1,3
9010713,,,610,517,1127,,,,,,
51,"GPS, Shalmano(Combined) (T)**",Pir Abad,9010714,,,803,610,1413,2,1,3
52,"GMS, Chakat (Combined)(T)**",Banr,9010801,,,207,170,377,1,1,2
"",,,9010802,,,408,348,756,,,
"",,,9010804,,,114,123,237,,,
53,"GMS, Banr (Combined)(T)**",Banr,9010803,,,265,240,505,2,1,3
"",,,9010805,,,187,135,322,,,
"",,,9010806,,,232,180,412,,,
"",,,9010807,,,203,168,371,,,
54,"GPS, Dehrai (Combined)(T)**",Dehrai,9010808,,,613,513,1126,1,1,2
55,"GHS, Dehrai (Combined)(T)**",Dehrai,9010811,,,408,347,755,2,1,3
"",,,9010812,,,447,415,862,,,
56,"GPS, Kaho (Combined)(T)**",Dehrai,9010809,,,258,224,482,2,1,3
"",,,9010810,,,606,460,1066,,,
57,"GPS, Zara (Combined) (T)**",Zara,9010902,,,270,195,465,2,1,3
"",,,9010903,,,392,330,722,,,
"",,,9010904,,,257,190,447,,,
58,"GPS, Dolo (Combined)(T)**",Zara,9010901,,,365,312,677,2,1,3
"",,,9010905,,,604,483,1087,,,
59,"GPS, Matta Awan(Combined) (T)**","DawlatKaley",9010906,,,590,486,1076,1,1,2
"",,,9010907,,,120,99,219,,,
60,"GMS, Daulat Kalay (Male)(T)**","DawlatKaley",9010908,,,384,0,384,1,0,1
9010909,,,226,0,226,,,,,,
9010910,,,133,0,133,,,,,,
9010911,,,141,0,141,,,,,,
9010912,,,180,0,180,,,,,,
9010913,,,304,0,304,,,,,,
9010908,,,0,300,300,,,,,,
9010909,,,0,176,176,,,,,,
9010910,,,0,111,111,,,,,,
9010911,,,0,118,118,,,,,,
9010912,,,0,153,153,,,,,,
"",,,9010913,,,0,254,254,,,
62,"GPS, Wahab Khel P.S No.1(Male) (T)**","WahabKhelKotkey",9011005,,,515,0,515,2,,
"",,,9011011,,,32,0,32,,,
"",,,9011001,,,316,0,316,,,
"",,,9011002,,,610,0,610,,,
63,"GPS, Wahab Khel P.S No.2(Male) (T)**","WahabKhelKotkey",9011003,,,591,0,591,2,0,2
"",,,9011010,,,514,565,1079,,,
"",,,9011004,,,610,0,610,,,
64,"GGPS, Wahab Khel(Female) (T)**","WahabKhelKotkey",9011005,,,0,332,332,0,3,3
"",,,9011011,,,0,21,21,,,
"",,,9011001,,,0,258,258,,,
"",,,9011002,,,0,358,358,,,
"",,,9011003,,,0,717,717,,,
"",,,9011004,,,0,496,496,,,
65,"GPS, Dara Manaf Khel(Combined) (T)**",Gandaw,9011006,,,717,592,1309,1,1,2
66,"GMS Gandaw (Combined)(T)**",Gandaw,9011007,,,632,529,1161,2,1,3
"",,,9011008,,,376,302,678,,,
67,"GPS, Gandaw  (Combined)(T)**",Gandaw,9011009,,,699,583,1282,1,1,2
68,"GHS No.2, Alpurai (Male)(P)*",Alpurai,9011401,,,581,0,581,2,0,2
"",,,9011402,,,458,0,458,,,
69,"GGPS, Alpurai  (Female)(T)**",Alpurai,9011401,,,0,466,466,0,2,2
"",,,9011402,,,0,357,357,,,
"",,,9011405,,,0,588,588,,,
70,"GCMHS, Alpurai  PS No.1(Combined) (P)*",Alpurai,9011403,,,554,457,1011,2,1,3
71,"GCMHS, Alpuri Shangla PSNo. 2",Alpuri,9011404,,,613,523,1136,2,1,3
72,"GPS Alpurai No.2(Combined) (T)**",Alpurai,9011405,,,773,0,773,1,1,2
73,"GHS, Bassi (Combined) P.SNo.1 (T)**",Bassi,9011406,,,511,382,893,1,1,2
74,"GHS, Bassi (Combined) P.SNo.2 (T)**",Bassi,9011409,,,450,376,826,2,1,3
"",,,9011410,,,490,373,863,,,
75,"GPS, Bassi (Combined)(T)**",Bassi,9011407,,,599,501,1100,1,1,2
76,"GPS, Kass Bassi(combined) (T)**",Bassi,9011408,,,720,525,1245,1,1,2
77,"GPS No. 1, Achar(Combined) (T)**",Achar,9011101,,,322,251,573,2,1,3
"",,,9011102,,,302,253,555,,,
"",,,9011103,,,376,300,676,,,
78,"GPS, Bahram Dara(Combined) (T)**",Amnavi,9011104,,,274,202,476,1,1,2
79,"BHU, Amnavi (Combined)(T)**",Amnavi,9011106,,,587,419,1006,2,1,3
"",,,9011107,,,526,381,907,,,
80,"GPS, Amnavi (Combined)(T)**",Amnavi,9011108,,,430,330,760,2,1,3
"",,,9011110,,,301,233,534,,,
81,"GGMS, Maroof Khel(Combined) (T)**",Amnavi,9011109,,,563,403,966,1,1,2
"",,,9011111,,,226,158,384,,,
"",,,9011105,,,201,120,321,,,
82,"GHS, Malak Khel (Male)(T)**","MalakKhelKotkey",9011201,,,464,0,464,2,0,2
"",,,9011202,,,260,0,260,,,
"",,,9011203,,,571,0,571,,,
"",,,9011204,,,240,0,240,,,
83,"GGHS, Malak Khel(Female) (T)**","MalakKhelKotkey",9011201,,,0,386,386,0,2,2
"",,,9011202,,,0,207,207,,,
"",,,9011203,,,0,467,467,,,
"",,,9011204,,,0,213,213,,,
84,"GPS, Malak Khel(combined) (T)**","MalakKhel",9011205,,,435,335,770,2,1,3
"",,,9011206,,,522,433,955,,,
85,"GMS, Bazar Kot (Male)(T)**",Bazar Kot,9011207,,,446,0,446,2,0,2
"",,,9011208,,,552,0,552,,,
86,GPS Bazar Kot  (Female),Bazar Kot,9011207,,,0,385,385,0,2,2
9011208,,,0,429,429,,,,,,
87,"GMS, Larai (Combined)(T)**",Lilownai,9011301,,,824,597,1421,1,1,2
88,"GPS, Biagalai (Combined)(T)**",Lilownai,9011302,,,678,502,1180,1,1,2
89,"GPS, Naway Kalay(Lilownai) (Combined)(T)**",Lilownai,9011303,,,648,468,1116,1,1,2
90,"GHS, Lilownai (Male)  (P)*",Lilownai,9011304,,,657,0,657,3,0,3
"",,,9011306,,,1200,0,1200,,,
91,"GPS, Lilownai  (combined)(P)*",Lilownai,9011308,,,638,510,1148,1,1,2
92,"GGHS, Lilownai  (Female)(T)**",Lilownai,9011304,,,0,471,471,0,3,3
"",,,9011306,,,0,985,985,,,
"",,,9011308,,,0,510,510,,,
93,"GPS, Khwar Kalay(Combined) (T)**",Lilownai,9011305,,,696,509,1205,2,2,4
"",,,9011311,,,385,269,654,,,
"",,,9011307,,,504,379,883,,,
94,"GGPS, Khawar Kalay(Combined) (T)**",Lilownai,9011309,,,553,435,988,2,1,3
"",,,9011310,,,271,227,498,2,1,3
95,"GPS, Shalizara (Combined)(T)**","BandaChina",9011501,,,416,315,731,2,1,3
"",,,9011502,,,823,672,1495,,,
"",,,9011514,,,154,140,294,,,
96,"GHS, Sheshan (Combined)(T)**",Sheshan,9011503,,,514,390,904,2,1,3
"",,,9011504,,,395,290,685,,,
"",,,9011511,,,117,105,222,,,
97,"GPS, Danai (Combined)(T)**",Sheshan,9011505,,,417,321,738,1,1,2
"",,,9011512,,,207,165,372,,,
98,"GHS, Kass (Male) (T)**","KassLilownai",9011506,,,263,0,263,2,,2
9011513,,,236,0,236,,,,,,
9011507,,,461,0,461,,,,,,
9011508,,,541,0,541,,,,,,
9011506,,,0,199,199,,,,,,
9011513,,,0,186,186,,,,,,
"",,,9011507,,,0,342,342,,,
"",,,9011508,,,0,369,369,,,
100,"GMS, Managai (Combined)(T)**",Managai,9011509,,,417,326,743,2,1,3
"",,,9011510,,,397,325,722,,,
101,"GPS Arakh (Combined)(T)**",Kurmong,88010101,,,541,385,926,1,1,2
102,"GPS Kuz Lashkar(Combined) (T)**",Kurmong,88010102,,,562,442,1004,2,1,3
"",,,88010103,,,378,291,669,,,
103,"GMS Gandorai (Combined)(T)**",Kurmong,88010104,,,1066,748,1814,2,1,2
104,"GPS, Manz Kaley(Combined) (T)**",Kurmong,88010105,,,466,426,892,1,1,2
105,"GPS, Hawalai  (Combined)(T)**",Hawalai,88010106,,,320,228,548,1,1,2
106,"GPS, Pandyar  (Combined)(T)**",Lahor,88010107,,,486,354,840,2,1,3
"",,,88010108,,,674,488,1162,,,
107,"GGPS Besham (Combined)(T)**",Besham,88010201,,,662,462,1124,1,1,2
108,GMS Kerai (Male) (T)**,Kerai,88010202,,,879,0,879,1,1,2
109,GPS  Kerai (Female),Kerai,88010202,,,0,537,537,0,1,1
110,"GPS,  Khatak Sar(Combined) (T)**",Kerai,88010203,,,188,78,266,1,1,2
"",,,88010204,,,355,320,675,,,
111,"GPS Butyal (Combined)(T)**",Butyal,88010601,,,722,495,1217,2,1,3
"",,,88010604,,,290,164,454,,,
112,"GHSS Butyal P.SNo.1(Male) (P)*",Butyal,88010602,,,866,0,866,2,0,2
113,"GHSS Butyal P.S No.2(Male) (T)**",Butyal,88010603,,,1387,0,1387,3,0,3
114,"GHSS Butyal P.S No.3(Female)",Butyal,88010602,,,0,574,574,0,3,3
"",,,88010603,,,0,957,957,,,
115,"GPS Janrai Shang(Combined) (T)**",Shang,88010301,,,379,268,647,2,1,3
88010303,,,458,323,781,,,,,,
"",,,88010304,,,384,192,576,,,
117,GPS Shang (Male) (T)**,Shang,88010302,,,343,0,343,3,0,3
"",,,88010305,,,751,0,751,,,
"",,,88010306,,,438,0,438,,,
118,"Civil Dispensary Shang(Female) (T)**",Shang,88010302,,,0,233,233,0,2,2
"",,,88010305,,,0,509,509,,,
"",,,88010306,,,0,332,332,,,
119,"GMS Kuz Batkot(Combined) (T)**",Shang,88010307,,,552,377,929,2,1,3
"",,,88010309,,,550,380,930,,,
120,"GPS Kuz Batkot(Combined) (T)**",Shang,88010308,,,764,567,1331,1,1,2
121,GHS Maira (Male) (T)**,Maira,88010401,,,1088,0,1088,3,0,3
"",,,88010402,,,619,0,619,,,
122,GGPS Maira (Female) (T)**,Maira,88010401,,,0,893,893,0,2,3
"",,,88010402,,,0,501,501,,,
123,"GMS Dehrai Maira (Male)(T)**",Maira,88010403,,,508,0,508,3,0,3
"",,,88010404,,,619,0,619,,,
124,"GGMS Maira (Female)(T)**",Maira,88010403,,,0,431,431,0,2,2
"",,,88010404,,,0,497,497,,,
125,"GPS Cham Manrai Maira(Male) (T)**",Maira,88010405,,,675,0,675,3,0,3
"",,,88010406,,,913,0,913,,,
126,"GGPS Manrai (Lakai)(Female) (T)**",Maira,88010405,,,0,499,499,0,2,2
"",,,88010406,,,0,703,703,,,
