DRAFT LIST OF POLLING STATIONS PP-82 KHUSHAB-I,,,,,,,,,,,,
"",Padhrar,143031002,,,,318,0,318,,,0,
"",Padhrar,143031003,,,,316,0,316,,,0,
"",,,,,,,940,0,940,2,0,2
116,"(62) Government Girls High School,Padhrar.(FEMALE)",Padhrar,143031001,,,,0,283,283,,,0
"",Padhrar,143031002,,,,0,288,288,,,0,
"",Padhrar,143031003,,,,0,343,343,,,0,
"",,,,,,,0,914,914,0,2,2
117,Padhrar,143031004,,,,291,303,594,,,0,
"",,,,,,,655,696,1351,2,2,4
118,"Government Boys High School,Padhrar. (High Portion)(COMBINED)",Padhrar,143031006,,,,182,179,361,,,0
"",Padhrar,143031012,,,,395,344,739,,,0,
"",,,,,,,577,523,1100,1,1,2
119,"Rural Health Center,Padhrar. (West)(COMBINED)",Padhrar,143031007,,,,112,124,236,,,0
"",Padhrar,143031008,,,,76,75,151,,,0,
"",Padhrar,143031009,,,,245,249,494,,,0,
"",,,,,,,433,448,881,1,1,2
120,"Rural Health Center,Padhrar. (East)(COMBINED)",Padhrar,143031010,,,,419,448,867,,,0
"",Padhrar,143031011,,,,441,388,829,,,0,
"",,,,,,,860,836,1696,2,2,4
121,"Government BoysPrimary  School,Chab.(COMBINED)",Padhrar,143031013,,,,412,353,765,,,0
"",Padhrar,143031015,,,,409,389,798,,,0,
"",,,,,,,821,742,1563,2,2,4
122,"Government Boys Primary School,Dhairi.(COMBINED)",Padhrar,143031014,,,,339,344,683,,,0
"",,,,,,,339,344,683,1,1,2
123,"Government Boys Primary School,Dhaman.(COMBINED)",Padhrar,143031016,,,,558,512,1070,,,0
"",,,,,,,558,512,1070,1,1,2
124,"Government Girls Primary School,Kadhar.(COMBINED)",Kadhar,143031102,,,,289,275,564,,,0
125,"Government Boys Primary School,Kochara.(COMBINED)",Kochara,143031103,,,,251,244,495,,,0
"",Kochara,143031104,,,,207,210,417,,,0,
"",Pirah Khari,143031105,,,,161,142,303,,,0,
"",,,,,,,619,596,1215,1,1,2
126,"Government Boys Primary School,Mandianwala.(COMBINED)",Okhli Mohla Janubi,145010101,,,,314,271,585,,,0
"",,,,,,,314,271,585,1,1,2
127,"Government Boys High School,Bitta (High Portion).(MALE)",Okhli Mohla Janubi,145010102,,,,1651,0,1651,,,0
"",,,,,,,1651,0,1651,2,0,2
128,"Government Boys High School,Bitta (Middle Portion).(FEMALE)",Okhli Mohla,145010102,,,,0,1557,1557,,,0
"",,,,,,,0,1557,1557,0,2,2
129,"Government Boys Primary School,Bhan Mardu.(COMBINED)",Okhli Mohla Janubi,145010103,,,,103,84,187,,,0
"",,Okhli Mohla Janubi,145010114,,,,49,65,114,,,0
"",,Okhli Mohla Janubi,145010115,,,,94,112,206,,,0
"",,Okhli Mohla Janubi,145010104,,,,261,240,501,,,0
"",,,,,,,507,501,1008,1,1,2
130,"Government Boys Primary School,Kukranwali.(COMBINED)",Okhli Mohla Janubi,145010105,,,,278,280,558,,,0
"",,Okhli Mohla Janubi,145010106,,,,486,432,918,,,0
"",,,,,,,764,712,1476,2,2,4
Okhli Mohla Janubi,145010107,,,,311,290,601,,,0,,
"Government Boys Primary School,Kochara.(COMBINED)"
""
"",,,,,,,617,557,1174,1,1,2
132,"Government Boys High School,Okhli Mohla (High Portion).(COMBINED)",Okhli Mohla Janubi,145010109,,,,182,113,295,,,0
"",,Okhli Mohla Janubi,145010110,,,,293,267,560,,,0
"",,Okhli Mohla Janubi,145010111,,,,518,485,1003,,,0
"",,,,,,,993,865,1858,2,2,4
133,"Government Boys Primary School,Pidranwala.(COMBINED)",Okhli Mohla Janubi,145010112,,,,228,166,394,,,0
"",Okhli Mohla Janubi,145010113,,,,100,78,178,,,0,
"",,,,,,,328,244,572,1,1,2
134,"Government Boys Primary School,Dera Haji Muhammad AslamBharoon Bandial Shumali (East).(COMBINED)",Bandial Shumali,145020101,,,,808,658,1466,,,0
"",,,,,,,808,658,1466,1,1,2
135,"Government Boys Primary School,Bharokianwala Bandial Shumali.(COMBINED)",Bandial Shumali,145020102,,,,577,499,1076,,,0
"",,,,,,,577,499,1076,1,1,2
136,"Government Boys Primary School,Muhammad Khailanwala Bandial Janubi.(COMBINED)",Bandial Janubi,145020201,,,,343,283,626,,,0
"",,,,,,,343,283,626,1,1,2
137,"Vetenary Hospital,Bandial.(COMBINED)",Bandial Janubi,145020202,,,,661,478,1139,,,0
"",,,,,,,661,478,1139,1,1,2
138,"Union Council Office,Bandial(COMBINED)",Bandial Janubi,145020203,,,,311,297,608,,,0
"",Bandial Janubi,145020205,,,,327,292,619,,,0,
139,"Field Assistant Agriculture Office,Bandial.(COMBINED)",Bandial Janubi,145020204,,,,272,218,490,,,0
"",,,,,,,272,218,490,1,1,2
140,"Government Boys Higher SecondarySchool,Bandial (High Portion).(COMBINED)",Bandial Janubi,145020206,,,,332,279,611,,,0
"",Bandial Janubi,145020210,,,,414,325,739,,,0,
"",,,,,,,746,604,1350,2,2,4
141,"Government Boys Higher SecondarySchool,Bandial (Primary Portion).(COMBINED)",Bandial Janubi,145020208,,,,292,237,529,,,0
"",Bandial Janubi,145020209,,,,368,302,670,,,0,
"",,,,,,,660,539,1199,1,1,2
142,"Basic Health Unit,Bandial.(COMBINED)",Bandial Janubi,145020207,,,,464,349,813,,,0
"",Bandial Janubi,145020211,,,,290,219,509,,,0,
"",,,,,,,754,568,1322,2,2,4
143,"Government Boys Primary School,Mehro(COMBINED)",Bandial Janubi,145020212,,,,613,448,1061,,,0
"",,,,,,,613,448,1061,1,1,2
144,"Government Boys Elementry School,Jajha.(COMBINED)",Bandial Janubi,145020213,,,,627,489,1116,,,0
"",,,,,,,627,489,1116,1,1,2
145,"Canal Rest House,Gunjial (East).(COMBINED)",Gunjial Shumali,145020301,,,,281,213,494,,,0
"",Gunjial Shumali,145020302,,,,160,102,262,,,0,
"",,,,,,,441,315,756,1,1,2
146,"Canal Rest House,Gunjial (West).(COMBINED)",Gunjial Shumali,145020303,,,,770,690,1460,,,0
"",Gunjial Shumali,145020304,,,,303,159,462,,,0,
"",,,,,,,1073,849,1922,2,2,4
"",,,,,,,799,668,1467,1,1,2
148,"Government Girls High School,Gunjial (High Portion)(COMBINED)",Gunjial Janubi,145020402,,,,369,269,638,,,0
"",,,,,,,369,269,638,1,1,2
149,"Government Grils High School,Gunjial (High Portion)(COMBINED)",Gunjial Janubi,145020403,,,,465,395,860,,,0
"",,,,,,,465,395,860,1,1,2
150,"Government Girls Primary School,Gunjial.(COMBINED)",Gunjial Janubi,145020404,,,,590,522,1112,,,0
"",,,,,,,590,522,1112,1,1,2
151,"Government Boys High School,Gunjial.(COMBINED)",Gunjial Janubi,145020405,,,,314,293,607,,,0
"",Gunjial Janubi,145020406,,,,303,227,530,,,0,
"",Gunjial Janubi,145020419,,,,187,214,401,,,0,
"",,,,,,,804,734,1538,2,2,4
"","Government Girls Primary School,Ameerwala.(MALE)",Gunjial Janubi,145020407,,,,827,0,827,,,0
152,Gunjial Janubi,145020409,,,,312,0,312,,,0,
"",,,,,,,1139,0,1139,2,0,2
153,"Government Girls Primary School,Ameerwala (West)(FEMALE)",Gunjial Janubi,145020407,,,,0,681,681,,,0
"",Gunjial Janubi,145020409,,,,0,282,282,,,0,
"",,,,,,,0,963,963,0,2,2
154,"Government Boys Elementary School,Ameerwala (Middle Portion).(COMBINED)",Gunjial Janubi,145020408,,,,716,591,1307,,,0
"",,,,,,,716,591,1307,1,1,2
155,"Government Girls Primary School,Shumar.(COMBINED)",Gunjial Janubi,145020410,,,,201,135,336,,,0
"",Gunjial Janubi,145020411,,,,778,722,1500,,,0,
156,"Government Boys Elementary School,Ameerwala (Primary Portion).(COMBINED)",Gunjial Janubi,145020412,,,,469,419,888,,,0
"",,,,,,,469,419,888,1,1,2
157,"Government Boys Primary School,Dhudianwali Dera Khane Khel.(COMBINED)",Gunjial Janubi,145020413,,,,513,426,939,,,0
"",,,,,,,513,426,939,1,1,2
158,"Government Boys Primary School,Dera Noray Khail, Shumar.(COMBINED)",Gunjial Janubi,145020414,,,,585,461,1046,,,0
"",,,,,,,585,461,1046,1,1,2
159,"Government Boys Elementary School,Shumar(COMBINED)",Gunjial Janubi,145020415,,,,603,551,1154,,,0
"",Gunjial Janubi,145020416,,,,309,284,593,,,0,
"",,,,,,,912,835,1747,2,2,4
"","Basic Health Unit,Shumar.(COMBINED)",Gunjial Janubi,145020417,,,,529,482,1011,,,0
160,Gunjial Janubi,145020418,,,,181,151,332,,,0,
"",,,,,,,710,633,1343,2,2,4
161,"Government Boys Elementary School,Gunjial Canal Colony.(COMBINED)",Utra Shumali,145020501,,,,340,270,610,,,0
"",,,,,,,340,270,610,1,1,2
162,"Government Girls Primary School,Chak No.5/TDA.(COMBINED)",Chak 5/TDA,145020502,,,,479,409,888,,,0
"",,,,,,,479,409,888,1,1,2
163,"Government Boys Elementary School,Chak No. 05/TDA.(COMBINED)",Chak 5/TDA,145020503,,,,387,286,673,,,0
"",Islamabad,145020504,,,,97,67,164,,,0,
164,"Government Boys Primay School,Khaney Khail Utara(MALE)",Utra Janubi,145020601,,,,1206,0,1206,,,0
"",,,,,,,1206,0,1206,2,0,2
165,"Government Girls Primay School,Khaney Khail Utara(FEMALE)",Utra Janubi,145020601,,,,0,954,954,,,0
"",,,,,,,0,954,954,0,2,2
166,"Union Council Office,Utara.(COMBINED)",Utra Janubi,145020602,,,,83,40,123,,,0
"",Utra Janubi,145020603,,,,468,390,858,,,0,
"",Utra Janubi,145020626,,,,412,352,764,,,0,
"",,,,,,,963,782,1745,2,2,4
167,"Government Boys Primary School,Jhanday Khail Utara(COMBINED)",Utra Janubi,145020604,,,,441,340,781,,,0
"",Utra Janubi,145020605,,,,497,396,893,,,0,
"",,,,,,,938,736,1674,2,2,4
168,"Government Boys Primay School,Thatianwala.(COMBINED)",Utra Janubi,145020606,,,,219,174,393,,,0
"",,,,,,,219,174,393,1,1,2
169,"Government Girls Primary School,Kalunwala, Utara.(COMBINED)",Utra Janubi,145020607,,,,322,274,596,,,0
"",Utra Janubi,145020608,,,,337,230,567,,,0,
"",,,,,,,659,504,1163,1,1,2
170,"Government Boys Primary School,Ghazi Khailan Wala, Utara.(COMBINED)",Utra Janubi,145020609,,,,86,70,156,,,0
"",Utra Janubi,145020610,,,,481,420,901,,,0,
171,"Government Boys Elementary School,Mitha Khoh, Utra.(COMBINED)",Utra Janubi,145020611,,,,103,94,197,,,0
"",Utra Janubi,145020612,,,,252,179,431,,,0,
"",Utra Janubi,145020613,,,,372,283,655,,,0,
"",,,,,,,727,556,1283,1,1,2
172,"Government Girls Primary School,Mitha Khoh, Utra.(COMBINED)",Utra Janubi,145020614,,,,252,163,415,,,0
"",Utra Janubi,145020616,,,,364,316,680,,,0,
"",,,,,,,616,479,1095,1,1,2
173,"Government Boys Primary School,Jay Singh, Utra.(COMBINED)",Utra Janubi,145020615,,,,207,198,405,,,0
"",,,,,,,207,198,405,1,1,2
174,"Government Boys High School,Shahwala Utra.(COMBINED)",Utra Janubi,145020617,,,,109,80,189,,,0
"",Utra Janubi,145020618,,,,787,668,1455,,,0,
"",,,,,,,896,748,1644,2,2,4
175,"Government Girls Elementry School,Shahwala Utra(COMBINED)",Utra Janubi,145020619,,,,1027,847,1874,,,0
"",,,,,,,1027,847,1874,2,2,4
176,"Government Boys Elementary School,Mohallahh Zail Dar, Utara.(COMBINED)",Utra Janubi,145020620,,,,515,363,878,,,0
"",Utra Janubi,145020624,,,,325,315,640,,,0,
"",,,,,,,840,678,1518,2,2,4
177,"Government Boys Elementary School,Mohallah Zail Dar, Utara.(COMBINED)",Utra Janubi,145020621,,,,723,611,1334,,,0
"",Utra Janubi,145020622,,,,206,195,401,,,0,
178,"Government Boys Primary School,Habib Khailanwali, Near Tanga Adda,Utara.(COMBINED)",Utra Janubi,145020625,,,,185,182,367,,,0
"",Utra Janubi,145020627,,,,254,219,473,,,0,
"",,,,,,,439,401,840,1,1,2
179,"Government Girls Elementary School,Utara.(COMBINED)",Utra Janubi,145020623,,,,320,289,609,,,0
"",Utra Janubi,145020628,,,,65,82,147,,,0,
"",,,,,,,385,371,756,1,1,2
180,"Civil Dispencary,Utara.(COMBINED)",Utra Janubi,145020629,,,,277,253,530,,,0
"",Utra Janubi,145020630,,,,114,75,189,,,0,
"",,,,,,,391,328,719,1,1,2
181,"Government Boys Primary School,Chak No: 33/DB.(COMBINED)",Chak No.33 DB,145020702,,,,547,401,948,,,0
"",,,,,,,547,401,948,1,1,2
182,"Government Boys Primary School,Chak No: 34/DB.(COMBINED)",Chak No.5/MB,145020701,,,,0,2,2,,,0
"",Chak No.34 DB,145020703,,,,481,386,867,,,0,
"",Chak No.35 DB,145020704,,,,322,210,532,,,0,
"",,,,,,,803,598,1401,1,1,2
183,"Government Boys Elementary School,Chak No.8/MB.(COMBINED)",Chak No.6/MB,145020801,,,,27,23,50,,,0
"",Chak No. 7MB,145020802,,,,171,133,304,,,0,
"",Chak No.8/MB,145020803,,,,338,269,607,,,0,
"",Chak No. 9MB,145020804,,,,316,270,586,,,0,
184,"Government Girls High School,Chak No: 36/DB.(COMBINED)",Chak No.36 DB,145020901,,,,254,196,450,,,0
"",Chak No.36 DB,145020902,,,,546,404,950,,,0,
"",,,,,,,800,600,1400,2,2,4
185,"Government Boys Elementary School,Chak No: 38/DB.(COMBINED)",Chak No.37 DB,145020903,,,,166,164,330,,,0
"",Chak No.38 DB,145020904,,,,372,336,708,,,0,
"",Chak No.38 DB,145020905,,,,174,150,324,,,0,
"",,,,,,,712,650,1362,2,2,4
186,"Government Boys Elementary School,Chak No: 39/DB.(COMBINED)",Chak No.39 DB,145020906,,,,246,212,458,,,0
"",Chak No.40 DB,145020907,,,,255,196,451,,,0,
"",Chak No.40 DB,145020908,,,,276,247,523,,,0,
"",,,,,,,777,655,1432,2,2,4
187,"Government Girls Primary School,Sariay Miani.(COMBINED)",Amb,145030101,,,,209,184,393,,,0
"",Amb,145030102,,,,263,252,515,,,0,
"",,,,,,,472,436,908,1,1,2
188,"Government Boys Elementary School,Amb.(COMBINED)",Amb,145030103,,,,465,413,878,,,0
"",Amb,145030104,,,,174,133,307,,,0,
"",Rakh Amb,145030106,,,,0,0,0,,,0,
"",,,,,,,639,546,1185,1,1,2
189,"Governament Boys Primary School,Moharianwala.(COMBINED)",Amb,145030105,,,,473,431,904,,,0
190,"Government Boys High School,Choha (Middle Portion).(COMBINED)",Choha,145030201,,,,373,315,688,,,0
"",,Choha,145030206,,,,105,72,177,,,0
"",,,,,,,478,387,865,1,1,2
191,"Government Girls Middle School,Choha.(COMBINED)",Choha,145030202,,,,632,572,1204,,,0
"",Choha,145030205,,,,83,81,164,,,0,
"",,,,,,,715,653,1368,1,1,2
192,"Government Boys Primary School,Darbar Sharif Choha,(COMBINED)",Choha,145030204,,,,681,528,1209,,,0
"",,,,,,,681,528,1209,1,1,2
193,"Government Girls Elementary School,Choha.(COMBINED)",Choha,145030203,,,,268,264,532,,,0
"",Choha,145030207,,,,65,55,120,,,0,
"",,,,,,,333,319,652,1,1,2
194,"Government Boys High School,Choha (Primary Portion).(COMBINED)",Choha,145030208,,,,519,463,982,,,0
"",Choha,145030209,,,,100,98,198,,,0,
"",Rakh Choha,145030210,,,,178,173,351,,,0,
"",,,,,,,797,734,1531,2,2,4
195,"Government Boys Primary School,Dhokri Old.(COMBINED)",Dhokri,145030301,,,,388,373,761,,,0
"",Dhokri,145030307,,,,275,255,530,,,0,
"",,,,,,,663,628,1291,1,1,2
196,Dhokri,145030302,,,,113,96,209,,,0,
"",Dhokri,145030305,,,,276,225,501,,,0,
"",,,,,,,680,587,1267,1,1,2
197,"Government Girls Primary School,Dhokri(COMBINED)",Dhokri,145030303,,,,654,644,1298,,,0
"",Dhokri,145030304,,,,331,313,644,,,0,
"",,,,,,,985,957,1942,2,2,4
198,"Governament Boys Primary School,Ghati.(COMBINED)",Dhokri,145030308,,,,499,378,877,,,0
"",,,,,,,499,378,877,1,1,2
199,"Government Boys Primary School,Fatehpur.(COMBINED)",Feteh Pur,145030401,,,,724,544,1268,,,0
"",Rakh Feteh Pur,145030404,,,,0,0,0,,,0,
"",,,,,,,724,544,1268,1,1,2
200,"Government Boys Middle School,Ahemdal.(COMBINED)",Feteh Pur,145030402,,,,419,382,801,,,0
"",Feteh Pur,145030403,,,,250,182,432,,,0,
"",,,,,,,669,564,1233,1,1,2
201,"Government Girls Middle School,Gole Wali.(COMBINED)",Golewali,145030501,,,,552,464,1016,,,0
"",,,,,,,552,464,1016,1,1,2
202,"Government Boys Primary School,Golewali.(COMBINED)",Golewali,145030502,,,,96,74,170,,,0
"",Golewali,145030503,,,,411,363,774,,,0,
"",,,,,,,507,437,944,1,1,2
203,"Government Boys Elementary School,Bhan Bare Khail.(COMBINED)",Golewali,145030504,,,,497,396,893,,,0
"",Golewali,145030505,,,,411,304,715,,,0,
"",,,,,,,908,700,1608,2,2,4
204,"Government Boys Primary School,Bhan Shahnawaz Khail(COMBINED)",Golewali,145030506,,,,814,774,1588,,,0
205,"Basic Health Unit,Golewali.(COMBINED)",Golewali,145030507,,,,476,438,914,,,0
"",Golewali,145030508,,,,160,123,283,,,0,
"",,,,,,,636,561,1197,1,1,2
206,"Government Boys Primary School,Gulbaig Wala Gole Wali.(COMBINED)",Golewali,145030509,,,,437,289,726,,,0
"",,,,,,,437,289,726,1,1,2
207,"(208) Government Boys Primary School,Gulbaig Wala Gole Wali (West).(COMBINED)",Golewali,145030510,,,,559,401,960,,,0
"",,,,,,,559,401,960,1,1,2
208,"Government Boys High School,Bhan Sultanwala (High Portion).(MALE)",Golewali,145030511,,,,828,0,828,,,0
"",Golewali,145030512,,,,196,0,196,,,0,
"",,,,,,,1024,0,1024,2,0,2
209,"Government Girls Primary School,Bhan Sultan Wala.(FEMALE)",Golewali,145030511,,,,0,632,632,,,0
"",Golewali,145030512,,,,0,157,157,,,0,
"",,,,,,,0,789,789,0,2,2
210,"Government Boys Elementary School,Chussu.(MALE)",Mitha Tiwana Shumali,145030801,,,,601,0,601,,,0
"",Mitha Tiwana Shumali,145030802,,,,230,0,230,,,0,
"",Okhli Mohla Shumali,145030803,,,,39,0,39,,,0,
"",,,,,,,870,0,870,2,0,2
211,Mitha Tiwana Shumali,145030801,,,,0,517,517,,,0,
"",Mitha Tiwana Shumali,145030802,,,,0,179,179,,,0,
"",,,,,,,0,720,720,0,2,2
212,"Government Girl Elementary School,Warcha City.(COMBINED)",Warcha,145030901,,,,316,235,551,,,0
"",Warcha,145030902,,,,54,49,103,,,0,
"",Warcha,145030914,,,,66,50,116,,,0,
"",,,,,,,436,334,770,2,2,4
213,"Government Girls High School,(PMDC) Warcha Mandi.(COMBINED)",Warcha,145030903,,,,118,131,249,,,0
"",Warcha,145030904,,,,519,484,1003,,,0,
"",,,,,,,637,615,1252,2,2,4
214,"Government Boys High School,Rukhla Mandi (High Portion)(COMBINED)",Warcha,145030905,,,,82,67,149,,,0
"",Warcha,145030909,,,,621,496,1117,,,0,
"",,,,,,,703,563,1266,1,1,2
215,"Government Boys High School,Rukhla Mandi (Middle Portion).(COMBINED)",Warcha,145030907,,,,53,39,92,,,0
"",Warcha,145030908,,,,263,241,504,,,0,
"",,,,,,,316,280,596,1,1,2
216,"Government Boys Primay School,Salt Mines Warcha.(COMBINED)",Warcha,145030906,,,,573,500,1073,,,0
"",Rakh Warcha,145030922,,,,0,1,1,,,0,
"",,,,,,,573,501,1074,1,1,2
217,"Basic Health Center,Warcha.(COMBINED)",Warcha,145030910,,,,299,239,538,,,0
"",Warcha,145030911,,,,65,57,122,,,0,
"",Warcha,145030912,,,,197,196,393,,,0,
"",,,,,,,561,492,1053,1,1,2
218,Warcha,145030913,,,,115,82,197,,,0,
"",Warcha,145030918,,,,36,40,76,,,0,
"",Warcha,145030919,,,,13,7,20,,,0,
"",Warcha,145030920,,,,19,25,44,,,0,
""
""
219,"Government Boys Elementary School,Warcha (Primary Portion).(MALE)",Warcha,145030915,,,,542,0,542,,,0
"",Warcha,145030916,,,,430,0,430,,,0,
"",Warcha,145030917,,,,567,0,567,,,0,
"",,,,,,,1539,0,1539,2,0,2
220,"Government Boys Elementary School,Warcha (Middle Portion)(FEMALE)",Warcha,145030915,,,,0,589,589,,,0
"",Warcha,145030916,,,,0,360,360,,,0,
"",Warcha,145030917,,,,0,349,349,,,0,
"",,,,,,,0,1298,1298,0,2,2
221,"Government Boys High School,Quaidabad, (West).(FEMALE)",-,-,Water Supply-Dakkhana,145040301,,0,223,223,,,0
"",-,-,N Type-Dakkhana,145040302,,0,474,474,,,0,
"",-,-,Baghdadi Masjid,145040303,,0,370,370,,,0,
"",-,-,Q Type-L Type,145040304,,0,336,336,,,0,
"",,,,,,,0,1403,1403,0,3,3
222,"Government Boys High School,Quaidabad, (East).(MALE)",-,-,Water Supply-Dakkhana,145040301,,247,0,247,,,0
"",-,-,N Type-Dakkhana,145040302,,465,0,465,,,0,
"",-,-,Baghdadi Masjid,145040303,,445,0,445,,,0,
"",-,-,Q Type-L Type,145040304,,385,0,385,,,0,
"",,,,,,,1542,0,1542,0,3,3
223,"Government Boys High School,Quaidabad (South).(MALE)",-,-,Labour Colony,145040305,,343,0,343,,,0
"",-,-,Chrischan Colony,145040306,,337,0,337,,,0,
"",-,-,3 Marla Scheme No.2,145040307,,188,0,188,,,0,
224,"Government Boys Primary School,Labour Colony,Quaidabad.(FEMALE)",-,-,Labour Colony,145040305,,0,281,281,,,0
"",-,-,Chrischan Colony,145040306,,0,326,326,,,0,
"",-,-,3 Marla Scheme No.2,145040307,,0,182,182,,,0,
"",,,,,,,0,789,789,0,2,2
225,"Governament Girls Primary School,Railway Statiion,Quaidabad.(Combined)",-,-,"Girid Station-Kachiabad i-Railway Phatak",145040101,,223,182,405,,,0
"",-,-,Railway Station-Kachiabad i,145040102,,235,193,428,,,0,
"",,,,,,,458,375,833,1,1,2
226,"Governament Boys Primary School,Railway Station,Quaidabad.(COMBINED)",-,-,3 Marla Scheme No.1,145040103,,125,110,235,,,0
"",-,-,"4 Marla Scheme No.1-New Satellite Town",145040104,,254,218,472,,,0,
"",,,,,,,379,328,707,1,1,2
227,"Government Girls Higher SecondrySchool,Quaidabad (East).(Male)",-,-,"Shamas Road-F,G, Block",145040201,,527,0,527,,,0
"",-,-,Ara Maket-Main Bazar,145040202,,742,0,742,,,0,
"",,,,,,,1269,0,1269,2,0,2
228,"Government Boys Elementry SchoolQuiadabad (Female)",-,-,"Shamas Road-F,G, Block",145040201,,0,475,475,,,0
"",-,-,Ara Maket-Main Bazar,145040202,,0,710,710,,,0,
"",,,,,,,0,1185,1185,0,2,2
229,"Government Girls Higher SecondarySchool,Quaidabad (West).(MALE)",-,-,Old Satellite Town,145040203,,191,0,191,,,0
"",-,-,Old Satellite Town,145040204,,366,0,366,,,0,
"",-,-,Lady Park-Double Story,145040205,,365,0,365,,,0,
230,"Government Girls Higher SecondarySchool,Quaidabad (East).(FEMALE)",-,-,Old Satellite Town,145040203,,0,164,164,,,0
"",-,-,Old Satellite Town,145040204,,0,339,339,,,0,
"",-,-,Lady Park-Double Story,145040205,,0,359,359,,,0,
