"",Sr. No.,"No. and Name of PollingStation",In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson the electoralroll in caseelectoral area isbifurcated","Number of voters assigned topolling station",Number of polling  booths,,,,,,
"",,,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
"",1,2,3,4,5,6,7,8,9,10,11,12,13
"",1,"Government Girls PrimarySchool Bindi Baig Mahni",Bindi Baig Mahni,156060301,-,-,,512,280,792,1,1,2
"",,,Bindi Baig Mahni,156060302,-,-,,284,193,477,,,
"",1 Total,,,,-,-,-,796,473,1269,1,1,2
"",2,"Government Boys PrimarySchool Dhano Wala",Dhano Wala,156060303,-,-,,463,306,769,1,1,2
"",,,Kalo Sahmal,156060304,-,-,,11,9,20,,,
"",,,Lakhnana Kohna,156060305,-,-,,40,22,62,,,
"",,,Lakhnana Nau,156060306,-,-,,28,20,48,,,
"",2 Total,,,,-,-,-,542,357,899,1,1,2
"",3,"Government Boys PrimarySchool Bhochra",Bhochra,156060201,-,-,,247,158,405,1,1,2
"",,,Bhochra,156060203,-,-,,197,127,324,,,
"",3 Total,,,,-,-,-,444,285,729,1,1,2
"",4,"Government GirlsElementary School Bhochra",Bhochra,156060202,-,-,,619,474,1093,1,1,2
"",4 Total,,,,-,-,-,619,474,1093,1,1,2
"",5,"Government Girls PrimarySchool Jogaira",Aputh Bahadar Shah,156060401,-,-,,85,79,164,1,1,2
"",,,Bela Rutar,156060402,-,-,,39,28,67,,,
"",,,Bindi Saed Jalal,156060403,-,-,,181,94,275,,,
"",,,Jogaira,156060404,-,-,,259,217,476,,,
"",5 Total,,,,-,-,-,564,418,982,1,1,2
"",6,"Government Boys MiddleSchool Bullu Shahbul",Bullo Shahabal,156060104,-,-,,623,525,1148,2,2,4
"",,,Bullo Shahabal,156060105,-,-,,254,202,456,,,
"",6 Total,,,,-,-,-,877,727,1604,2,2,4
"",7,"Government Boys HighSchool Khanoana",Khanoana,156060501,-,-,,279,230,509,1,1,2
"",,,Khanoana,156060502,-,-,,330,224,554,,,
"",7 Total,,,,-,-,-,609,454,1063,1,1,2
"",8,"Government Boys HighSchool Khanoana",Khanoana,156060505,-,-,,399,307,706,1,1,2
"",,,Khanoana,156060506,-,-,,161,67,228,,,
"",8 Total,,,,-,-,-,560,374,934,1,1,2
"",9,"Government Girls PrimarySchool Khanoana",Khanoana,156060503,-,-,,728,585,1313,2,2,4
Khanoana,156060504,-,-,,190,141,331,,,,,,
"",Sr. No.,"No. and Name of PollingStation",In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson the electoralroll in caseelectoral area isbifurcated","Number of voters assigned topolling station",Number of polling  booths,,,,,,
"",,,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
"",10,"Government Boys MiddleSchool Khorara Baqir",Khorara Baqir,156060601,-,-,,527,400,927,2,2,4
"",,,Khorara Baqir,156060602,-,-,,582,397,979,,,
"",10 Total,,,,-,-,-,1109,797,1906,2,2,4
"",11,"Government Girls HighSchool Bullo Shahbul",Bullo Shahabal,156060101,-,-,,249,0,249,2,0,2
"",,,Bullo Shahabal,156060102,-,-,,318,0,318,,,
"",,,Bullo Shahabal,156060103,-,-,,388,0,388,,,
"",11 Total,,,,-,-,-,955,0,955,2,0,2
"",12,"Government Girls HighSchool Bullo Shahbul",Bullo Shahabal,156060101,-,-,,0,156,156,0,2,2
"",,,Bullo Shahabal,156060102,-,-,,0,280,280,,,
"",,,Bullo Shahabal,156060103,-,-,,0,340,340,,,
"",12 Total,,,,-,-,-,0,776,776,0,2,2
"",13,"Government Boys MiddleSchool (Primary Portion)",Khorara Baqir,156060603,-,-,,234,170,404,1,1,2
"",,,Khorara Baqir,156060604,-,-,,355,263,618,,,
"",13 Total,,,,-,-,-,589,433,1022,1,1,2
"",14,"Government Boys MiddleSchool Bullu Shahabul",Bullo Shahabal,156060106,-,-,,144,83,227,1,1,2
"",,,Bullo Shahabal,156060107,-,-,,328,247,575,,,
"",,,Kacha Shameera,156060108,-,-,,40,30,70,,,
"",14 Total,,,,-,-,-,512,360,872,1,1,2
"",15,"Government Girls HighSchool Khewa",Khewa,156060701,-,-,,375,223,598,1,1,2
"",,,Khewa,156060702,-,-,,409,283,692,,,
"",15 Total,,,,-,-,-,784,506,1290,1,1,2
"",16,"Government Girls HighSchool Khewa",Khewa,156060703,-,-,,770,563,1333,1,1,2
"",16 Total,,,,-,-,-,770,563,1333,1,1,2
"",17,"Government Girls HighSchool Khewa",Khewa,156060704,-,-,,436,279,715,1,1,2
"",17 Total,,,,-,-,-,436,279,715,1,1,2
"",18,"Government Boys PrimarySchool Khewa",Khewa,156060705,-,-,,288,168,456,1,1,2
"",,,Khewa,156060706,-,-,,144,84,228,,,
"",18 Total,,,,-,-,-,432,252,684,1,1,2
"",19,"Allama Iqbal Feeder School,Abadi Sahmal",Sahmal,156060707,-,-,,248,190,438,1,1,2
"",,,Sahmal,156060708,-,-,,260,157,417,,,
"",19 Total,,,,-,-,-,508,347,855,1,1,2
"",20,"Government Boys HighSchool Mukhiana",Mukhiana,156060801,-,-,,486,353,839,1,1,2
"",20 Total,,,,-,-,-,486,353,839,1,1,2
"",21,"Government Boys HighSchool Mukhiana",Mukhiana,156060802,-,-,,328,179,507,1,1,2
Mukhiana,156060803,-,-,,240,173,413,,,,,,
"",Sr. No.,"No. and Name of PollingStation",In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson the electoralroll in caseelectoral area isbifurcated","Number of voters assigned topolling station",Number of polling  booths,,,,,,
"",,,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
"",22,"Government Boys HighSchool Mukhiana",Mukhiana,156060804,-,-,,179,145,324,1,1,2
"",,,Mukhiana,156060805,-,-,,269,202,471,,,
"",,,Mukhiana,156060806,-,-,,166,115,281,,,
"",22 Total,,,,-,-,-,614,462,1076,1,1,2
"",23,"Government Girls HighSchool Mukhiana",Mukhiana,156060807,-,-,,615,410,1025,2,2,4
"",,,Mukhiana,156060808,-,-,,215,261,476,,,
"",23 Total,,,,-,-,-,830,671,1501,2,2,4
"",24,"Government Girls HighSchool Mukhiana",Mukhiana,156060809,-,-,,281,165,446,1,1,2
"",,,Mukhiana,156060810,-,-,,127,92,219,,,
"",,,Mukhiana,156060811,-,-,,216,169,385,,,
"",,,Mukhiana,156060812,-,-,,170,142,312,,,
"",24 Total,,,,-,-,-,794,568,1362,1,1,2
"",25,"Government Boys HighSchool Satiana",Satiana,156060901,-,-,,450,356,806,2,2,4
"",,,Satiana,156060902,-,-,,664,404,1068,,,
"",25 Total,,,,-,-,-,1114,760,1874,2,2,4
"",26,"Government Boys HighSchool , Satiana",Satiana,156060903,-,-,,140,96,236,1,1,2
"",,,Satiana,156060904,-,-,,457,410,867,,,
"",26 Total,,,,-,-,-,597,506,1103,1,1,2
"",27,"Government Girls MiddleSchool Nikka Doultana",Nika Doltana,156060905,-,-,,241,166,407,1,1,2
"",,,Nika Doltana,156060906,-,-,,306,165,471,,,
"",27 Total,,,,-,-,-,547,331,878,1,1,2
"",28,"Government Boys PrimarySchool Nikka Doultana",Nika Doltana,156060907,-,-,,347,292,639,1,1,2
"",,,Nika Doltana,156060908,-,-,,403,307,710,,,
"",28 Total,,,,-,-,-,750,599,1349,1,1,2
"",29,"Government Girls ElementrySchool Sheikh Chuharh",Sheikh Chohar,156061001,-,-,,373,294,667,2,2,4
"",,,Sheikh Chohar,156061002,-,-,,63,59,122,,,
"",,,Sheikh Chohar,156061003,-,-,,58,50,108,,,
"",,,Sheikh Chohar,156061004,-,-,,362,317,679,,,
"",29 Total,,,,-,-,-,856,720,1576,2,2,4
"",30,"Government Girls ElementrySchool Sheikh Chuharh",Sheikh Chohar,156061005,-,-,,533,465,998,1,1,2
"",30 Total,,,,-,-,-,533,465,998,1,1,2
"",31,"Government Girls PrimarySchool Sheikh Chuharh(Madina Colony)",Sheikh Chohar,156061006,-,-,,171,127,298,2,2,4
"",,,Sheikh Chohar,156061007,-,-,,265,241,506,,,
"",,,Sheikh Chohar,156061008,-,-,,324,261,585,,,
"",31 Total,,,,-,-,-,760,629,1389,2,2,4
"",32,"Government Boys PrimarySchool (Shah Hussain Gharbi)",Chak Sheikhana,156061009,-,-,,437,314,751,1,1,2
Chak Sheikhana,156061010,-,-,,449,317,766,,,,,,
"",Sr. No.,"No. and Name of PollingStation",In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson the electoralroll in caseelectoral area isbifurcated","Number of voters assigned topolling station",Number of polling  booths,,,,,,
"",,,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
"",33,"Government Boys PrimarySchool (Sairwala) Kul Kurai",Kul Karai,156061011,-,-,,326,248,574,1,1,2
"",,,Kul Karai,156061012,-,-,,184,170,354,,,
"",,,Kul Karai,156061013,-,-,,240,186,426,,,
"",33 Total,,,,-,-,-,750,604,1354,1,1,2
"",34,"Government Boys HighSchool Sultan Pur",Sultan Pur,156061101,-,-,,559,426,985,1,1,2
"",34 Total,,,,-,-,-,559,426,985,1,1,2
"",35,"Government Boys HighSchool Sultan Pur",Sultan Pur,156061102,-,-,,330,236,566,1,1,2
"",,,Sultan Pur,156061103,-,-,,467,277,744,,,
"",,,Chah Kameer,156061107,-,-,,140,105,245,,,
"",35 Total,,,,-,-,-,937,618,1555,1,1,2
"",36,"Government Boys HighSchool .(Middle Portion)Sultan Pur (Permanent)",Sultan Pur,156061104,-,-,,294,214,508,2,2,4
"",,,Sultan Pur,156061105,-,-,,516,394,910,,,
"",,,Sultan Pur,156061106,-,-,,159,149,308,,,
"",36 Total,,,,-,-,-,969,757,1726,2,2,4
"",37,"Government Boys PrimarySchool Balian",Bali,156070101,-,-,,504,345,849,2,1,3
"",,,Bali,156070102,-,-,,239,134,373,,,
"",37 Total,,,,-,-,-,743,479,1222,2,1,3
"",38,"Government Boys PrimarySchool Punjgarain",Punjgarain,156070201,-,-,,695,540,1235,1,1,2
"",38 Total,,,,-,-,-,695,540,1235,1,1,2
"",39,Basic Health Unit Panjgarain,Punjgarain,156070202,-,-,,420,273,693,1,1,2
"",,,Punjgarain,156070203,-,-,,195,154,349,,,
"",39 Total,,,,-,-,-,615,427,1042,1,1,2
"",40,"Government GirlsCommunity Model School,Hussain Abad ThathaJhabana",Tahatta Jhabana,156070301,-,-,,969,717,1686,2,2,4
"",40 Total,,,,-,-,-,969,717,1686,2,2,4
"",41,"Government Boys ElementrySchool Tahatta Jhabana",Tahatta Jhabana,156070302,-,-,,708,517,1225,2,1,3
"",41 Total,,,,-,-,-,708,517,1225,2,1,3
"",42,"Government Girls PrimarySchool Chak Murad Murad",Murad Wala,156070303,-,-,,432,291,723,1,1,2
"",42 Total,,,,-,-,-,432,291,723,1,1,2
"",43,"Government Boys PrimarySchool Thatta Sundrana",Thatta Korriana,156070401,-,-,,348,291,639,1,1,2
Thatta Korriana,156070403,-,-,,231,88,319,,,,,,
"",Sr. No.,"No. and Name of PollingStation",In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson the electoralroll in caseelectoral area isbifurcated","Number of voters assigned topolling station",Number of polling  booths,,,,,,
"",,,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
"",44,"Government Boys PrimarySchool Thatta Sundrana(Thatta Korriana)",Thatta Korriana,156070402,-,-,,555,501,1056,1,1,2
"",44 Total,,,,-,-,-,555,501,1056,1,1,2
"",45,"Government Girls PrimarySchool Daduana",Daduana Kuhna,156070404,-,-,,329,273,602,1,1,2
"",,,Pipli Wala,156070405,-,-,,149,97,246,,,
"",,,Jahan Khan,156070406,-,-,,77,43,120,,,
"",45 Total,,,,-,-,-,555,413,968,1,1,2
"",46,"Government Model PrimarySchool (Boys Campus)",Dosera,156070501,-,-,,400,266,666,2,2,4
"",,,Dosera,156070502,-,-,,554,493,1047,,,
"",46 Total,,,,-,-,-,954,759,1713,2,2,4
"",47,"Government Model PrimarySchool (Girls Campus) Dosera",Dosera,156070503,-,-,,342,298,640,1,1,2
"",,,Dosera,156070504,-,-,,228,179,407,,,
"",47 Total,,,,-,-,-,570,477,1047,1,1,2
"",48,"Government Boys ElementrySchool Ratta Matta (Primary",Ratta Matta Janubi,156070601,-,-,,945,0,945,2,0,2
"",,,Ratta Matta Janubi,156070602,-,-,,330,0,330,,,
"",48 Total,,,,-,-,-,1275,0,1275,2,0,2
"",49,"Government Boys ElementrySchool Ratta Matta (Middle",Ratta Matta Janubi,156070601,-,-,,0,692,692,0,2,2
"",,,Ratta Matta Janubi,156070602,-,-,,0,218,218,,,
"",49 Total,,,,-,-,-,0,910,910,0,2,2
"",50,"Government Girls PrimarySchool Matta",Ratta Matta Janubi,156070603,-,-,,281,171,452,1,1,2
"",,,Ratta Matta Janubi,156070604,-,-,,284,200,484,,,
"",50 Total,,,,-,-,-,565,371,936,1,1,2
"",51,"Government Boys PrimarySchool Ratta Kalan",Ratta Matta Shumali,156070701,-,-,,837,557,1394,2,1,3
"",51 Total,,,,-,-,-,837,557,1394,2,1,3
"",52,"Government Girls HighSchool Ratta Kalan",Ratta Matta Shumali,156070702,-,-,,427,311,738,2,1,3
"",,,Ratta Matta Shumali,156070704,-,-,,482,314,796,,,
"",52 Total,,,,-,-,-,909,625,1534,2,1,3
"",53,"Government Boys ElementrySchool Ratta Matta",Ratta Matta Shumali,156070703,-,-,,416,327,743,1,1,2
"",,,Ratta Matta Shumali,156070706,-,-,,192,170,362,,,
"",53 Total,,,,-,-,-,608,497,1105,1,1,2
"",54,"Basic Health Unit RattaMatta",Ratta Matta Shumali,156070705,-,-,,454,389,843,2,1,3
Ratta Matta Shumali,156070707,-,-,,381,244,625,,,,,,
"",Sr. No.,"No. and Name of PollingStation",In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson the electoralroll in caseelectoral area isbifurcated","Number of voters assigned topolling station",Number of polling  booths,,,,,,
"",,,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
"",55,"Government Boys HighSchool Shah Jewana",Shah Jewana,156070801,-,-,,1107,0,1107,3,0,3
"",,,Shah Jewana,156070802,-,-,,470,0,470,,,
"",,,Shah Jewana,156070803,-,-,,70,0,70,,,
"",55 Total,,,,-,-,-,1647,0,1647,3,0,3
"",56,"Government Girls HighSchool Shah Jewana",Shah Jewana,156070801,-,-,,0,999,999,0,3,3
"",,,Shah Jewana,156070802,-,-,,0,414,414,,,
"",,,Shah Jewana,156070803,-,-,,0,80,80,,,
"",56 Total,,,,-,-,-,0,1493,1493,0,3,3
"",57,"Government Boys High ShahJewana (Primary Portion)",Shah Jewana,156070804,-,-,,506,483,989,1,1,2
"",57 Total,,,,-,-,-,506,483,989,1,1,2
"",58,"Government Boys High ShahJewana (Primary Portion)",Shah Jewana,156070805,-,-,,458,441,899,1,1,2
"",58 Total,,,,-,-,-,458,441,899,1,1,2
"",59,"Canal Rest House PakkaBanglaw Shah Jewana",Shah Jewana,156070806,-,-,,434,0,434,2,0,2
"",,,Shah Jewana,156070807,-,-,,280,0,280,,,
"",,,Shah Jewana,156070808,-,-,,258,0,258,,,
"",59 Total,,,,-,-,-,972,0,972,2,0,2
"",60,"Canal Rest House PakkaBanglaw Shah Jewana",Shah Jewana,156070806,-,-,,0,363,363,0,2,2
"",,,Shah Jewana,156070807,-,-,,0,224,224,,,
"",,,Shah Jewana,156070808,-,-,,0,202,202,,,
"",60 Total,,,,-,-,-,0,789,789,0,2,2
"",61,"Government Boys HighSchool Ali Pur",Ali Pur,156070901,-,-,,324,0,324,3,0,3
"",,,Ali Pur,156070902,-,-,,242,0,242,,,
"",,,Ali Pur,156070903,-,-,,624,0,624,,,
"",,,Sialan Wala,156070904,-,-,,466,0,466,,,
"",,,Zinda Shah,156070905,-,-,,24,0,24,,,
"",,,Jhalar Wahab Shah,156070906,-,-,,23,0,23,,,
"",61 Total,,,,-,-,-,1703,0,1703,3,0,3
"",62,"Government Girls HighSchool Ali Pur",Ali Pur,156070901,-,-,,0,205,205,0,2,2
Ali Pur,156070902,-,-,,0,179,179,,,,,,
Ali Pur,156070903,-,-,,0,460,460,,,,,,
Sialan Wala,156070904,-,-,,0,364,364,,,,,,
Zinda Shah,156070905,-,-,,0,10,10,,,,,,
Jhalar Wahab Shah,156070906,-,-,,0,20,20,,,,,,
"",Sr. No.,"No. and Name of PollingStation",In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson the electoralroll in caseelectoral area isbifurcated","Number of voters assigned topolling station",Number of polling  booths,,,,,,
"",,,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
"",63,"Government Boys PrimarySchool Mongar",Mongar,156071001,-,-,,326,238,564,1,1,2
"",63 Total,,,,-,-,-,326,238,564,1,1,2
"",64,"Government Boys PrimarySchool Shair Garh",Shair Garh,156071002,-,-,,560,530,1090,1,1,2
"",64 Total,,,,-,-,-,560,530,1090,1,1,2
"",65,"Government Boys ElementrySchool Wadan",Wadan,156071101,-,-,,246,199,445,1,1,2
"",,,Wadan,156071102,-,-,,268,193,461,,,
"",65 Total,,,,-,-,-,514,392,906,1,1,2
"",66,"Government Boys ElementrySchool Wadan",Wadan,156071103,-,-,,340,281,621,2,1,3
"",,,Wadan,156071104,-,-,,252,192,444,,,
"",,,Wadan,156071105,-,-,,197,137,334,,,
"",66 Total,,,,-,-,-,789,610,1399,2,1,3
"",67,"Government Girls PrimarySchool Abid Sttad Kot",Kot Dharaman,156071106,-,-,,464,360,824,2,2,4
"",,,Kot Dharaman,156071107,-,-,,398,305,703,,,
"",67 Total,,,,-,-,-,862,665,1527,2,2,4
"",68,"Government Boys HighSchool Chund Bharwana",Chund Bharwana,156080101,-,-,,446,285,731,2,1,3
"",,,Chund Bharwana,156080102,-,-,,486,188,674,,,
"",68 Total,,,,-,-,-,932,473,1405,2,1,3
"",69,"Government Boys HighSchool Chund Bharwana",Chund Bharwana,156080103,-,-,,206,348,554,2,1,3
"",,,Chund Bharwana,156080109,-,-,,496,321,817,,,
"",69 Total,,,,-,-,-,702,669,1371,2,1,3
"",70,"Government Girls MiddleSchool Chund Bharwana",Chund Bharwana,156080104,-,-,,307,229,536,2,2,4
"",,,Chund Bharwana,156080105,-,-,,149,102,251,,,
"",,,Chund Bharwana,156080106,-,-,,469,379,848,,,
"",70 Total,,,,-,-,-,925,710,1635,2,2,4
"",71,"Government Girls MiddleSchool Chund Bharwana",Chund Bharwana,156080110,-,-,,78,76,154,1,1,2
"",,,Chund Bharwana,156080111,-,-,,105,96,201,,,
"",,,Chund Bharwana,156080112,-,-,,116,102,218,,,
"",71 Total,,,,-,-,-,299,274,573,1,1,2
"",72,"Government Girls PrimarySchool Budhi Thatti",Budhi Thatti,156080107,-,-,,533,424,957,1,1,2
"",,,Budhi Thatti,156080108,-,-,,149,133,282,,,
"",72 Total,,,,-,-,-,682,557,1239,1,1,2
"",73,"Government Girls PrimarySchool Chak Hamza Wala",Chak Syedan Wala,156080201,-,-,,467,380,847,1,1,2
"",73 Total,,,,-,-,-,467,380,847,1,1,2
"",74,"Government Girls PrimarySchool Chak Hamza Wala",Chak Hamza,156080204,-,-,,606,337,943,2,1,3
"",,,Chak Hamza,156080205,-,-,,212,114,326,,,
"",74 Total,,,,-,-,-,818,451,1269,2,1,3
"",Sr. No.,"No. and Name of PollingStationGovernment Girls Primary",In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson the electoralroll in caseelectoral area isbifurcated","Number of voters assigned topolling station",Number of polling  booths,,,,,,
"",,,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
"",,School Chak Balouchan Wala,Chak Balouchan Wala,156080203,-,-,,145,86,231,,,
"",75 Total,,,,-,-,-,681,487,1168,1,1,2
"",76,"Government Boys PrimarySchool Rasool Pur",Chak Rasool Pur,156080206,-,-,,271,175,446,1,1,2
"",,,Chak Rasool Pur,156080207,-,-,,330,228,558,,,
"",76 Total,,,,-,-,-,601,403,1004,1,1,2
"",77,"Government Boys ElementrySchool Pabbar Wala",Pabbar Wala,156080301,-,-,,342,237,579,1,1,2
"",,,Pabbar Wala,156080303,-,-,,101,83,184,,,
"",77 Total,,,,-,-,-,443,320,763,1,1,2
"",78,"Office Union Council PabbarWala",Pabbar Wala,156080304,-,-,,703,461,1164,2,1,3
"",,,Pabbar Wala,156080305,-,-,,201,147,348,,,
"",78 Total,,,,-,-,-,904,608,1512,2,1,3
"",79,"Government Boys PrimarySchool Iqbal Nagar",Pabbar Wala,156080302,-,-,,588,465,1053,1,1,2
"",79 Total,,,,-,-,-,588,465,1053,1,1,2
"",80,"Government Boys PrimarySchool Haveli Dewan",Haveli Dewan,156080306,-,-,,605,399,1004,1,1,2
"",80 Total,,,,-,-,-,605,399,1004,1,1,2
"",81,"Government Boys PrimarySchool Qutab Awan",Qutab,156080401,-,-,,543,404,947,2,1,3
"",,,Qutab,156080402,-,-,,208,137,345,,,
"",,,Thatti Said Barham,156080403,-,-,,148,83,231,,,
"",81 Total,,,,-,-,-,899,624,1523,2,1,3
"",82,"Government Girls PrimarySchool Onara",Onara,156080404,-,-,,545,413,958,1,1,2
"",82 Total,,,,-,-,-,545,413,958,1,1,2
"",83,"Government Boys PrimarySchool Bair Wali",Bair Wali,156080501,-,-,,344,232,576,2,1,3
"",,,Bair Wali,156080502,-,-,,437,327,764,,,
"",83 Total,,,,-,-,-,781,559,1340,2,1,3
"",84,"Government Model PrimarySchool (Boys Campus)Turbat Haji Shah",Turbat Haji Shah,156080603,-,-,,689,463,1152,1,1,2
"",84 Total,,,,-,-,-,689,463,1152,1,1,2
"",85,"Government Model PrimarySchool (Girls Campus)",Jangal Qutab,156080504,-,-,,90,47,137,1,1,2
"",,,Turbat Haji Shah,156080604,-,-,,429,239,668,,,
"",85 Total,,,,-,-,-,519,286,805,1,1,2
"",86,"Government Boys PrimarySchool Sharih",Sharinh,156080601,-,-,,559,405,964,2,2,4
"",,,Sharinh,156080602,-,-,,598,397,995,,,
"",86 Total,,,,-,-,-,1157,802,1959,2,2,4
Hissam,156080701,-,-,,363,297,660,,,,,,
Hissam,156080702,-,-,,71,46,117,,,,,,
"","Sr. No.87","No. and Name of PollingStationGovernment Girls PrimarySchool Hissam",In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson the electoralroll in caseelectoral area isbifurcated","Number of voters assigned topolling station",Number of polling  booths,,,,,,
"",,,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,"Male1","Female1","Total2",
"",,,Hissam,156080704,-,-,,50,39,89,,,
"",87 Total,,,,-,-,-,577,461,1038,1,1,2
"",88,"Government Girls ElemantrySchool Nawan Thatha",Hissam,156080705,-,-,,98,76,174,1,1,2
"",,,Hissam,156080706,-,-,,242,213,455,,,
"",,,Hissam,156080707,-,-,,166,142,308,,,
"",88 Total,,,,-,-,-,506,431,937,1,1,2
