Sr No.,Polling Station Name,In case of Rural Areas,In Case of Urban Area,"S.NO. of Voterson the electoralRoll in caseelectoral area inbifurcated","No. of Voters Against to Pollingstations",No. of Polling Boths,,,,,,
"",Name of Electoral Area,"Cences  BlockCode",Name of Electoral Area,"Cences  BlockCode","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,Government Boys High School Kot Tahir,KOT TAHIR,229050402,,,,363,0,363,2,0,2
1.Total,,,,,,,371,9,373,2,0,2
2,Government Boys High School Kot Tahir,KOT TAHIR,229050404,,,,259,0,259,2,0,2
"",KOT TAHIR,229050406,,,,197,0,197,,,,
2.Total,,,,,,,456,0,456,2,0,2
3,Government Girls High School Kot Tahir,KOT TAHIR,229050402,,,,0,285,285,0,2,2
"",KOT TAHIR,229050404,,,,0,187,187,,,,
"",KOT TAHIR,229050406,,,,0,141,141,,,,
3.Total,,,,,,,0,613,613,0,2,2
4,Government Boys High School Kot Tahir,KOT TAHIR,229050405,,,,483,0,483,3,0,3
"",KOT TAHIR,229050407,,,,356,0,356,,,,
"",KOT TAHIR,229050408,,,,271,0,271,,,,
4.Total,,,,,,,1110,0,1110,3,0,3
5,Government Boys High School Kot Tahir,Kot Tahir,229050412,,,,297,243,540,1,1,2
"",Kot Tahir,229050413,,,,367,237,604,,,,
5.Total,,,,,,,664,480,1144,1,1,2
6,Govt. Boys High School Kot Tahir,Kot Tahir,229050409,,,,315,217,532,2,1,3
"",Kot Tahir,229050410,,,,211,159,370,,,,
"",Kot Tahir,229050411,,,,372,334,706,,,,
6.Total,,,,,,,898,710,1608,2,1,3
7,Government Primary School Dulat Wala,Kot Tahir,229050401,,,,418,342,760,1,1,2
"",Kot,229050403,,,,295,247,542,,,,
7.Total,,,,,,,713,589,1302,1,1,2
8,"Government Boys Elementary School Jam DurMohammad",KOT TAHIR,229050405,,,,0,401,401,0,2,2
"",KOT TAHIR,229050407,,,,0,267,267,,,,
"",KOT TAHIR,229050408,,,,0,240,240,,,,
8.Total,,,,,,,0,908,908,0,2,2
9,Government Boys High School Talai Wala,KOT JANUN,229010106,,,,285,225,510,2,2,4
"",KOT JANUN,229010107,,,,267,201,468,,,,
"",KOT JANUN,229010108,,,,416,324,740,,,,
9.Total,,,,,,,968,750,1718,2,2,4
10,Govt. Boys High School Talai Wala,Kot Janu,229010109,,,,577,0,577,3,0,3
"",Kot Janu,229010110,,,,448,0,448,,,,
"",Kot Janu,229010111,,,,234,0,234,,,,
"",Kot Janu,229010112,,,,439,0,439,,,,
10.Total,,,,,,,1698,0,1698,3,0,3
11,Union Council Office Kot Tahir,KOT JANUN,229010109,,,,0,428,428,0,3,3
"",KOT JANUN,229010110,,,,0,326,326,,,,
"",KOT JANUN,229010111,,,,0,157,157,,,,
"",KOT JANUN,229010112,,,,0,320,320,,,,
11.Total,,,,,,,0,1231,1231,0,3,3
12,"GOVT. GIRLS PRIMARY SCHOOL MARIWALA",KOT JANUN,229010113,,,,0,266,266,0,3,3
"",KOT JANUN,229010114,,,,0,249,249,,,,
"",KOT JANUN,229010115,,,,0,520,520,,,,
12.Total,,,,,,,0,1035,1035,0,3,3
13,Veternary Hospital Talai Wala,KOT JANUN,229010113,,,,355,0,355,3,0,3
"",KOT JANUN,229010114,,,,341,0,341,,,,
"",KOT JANUN,229010115,,,,750,0,750,,,,
13.Total,,,,,,,1446,0,1446,3,0,3
14,"Government Girls Primary School Tiba ChandiaHaji Jindi",Tibba CHANDIA KALAN,229050201,,,,247,199,446,2,2,4
"",,Tibba CHANDIA KHURD,229050202,,,,219,230,449,,,
"",,Tibba Chandia,229050203,,,,414,267,681,,,
14.Total,,,,,,,880,696,1576,2,2,4
15,"Govt. Primary School Basti Sair Wala TibaChandia",Tiba Chandia,229050206,,,,145,141,286,1,1,2
"",,Tiba Chandia,229050207,,,,195,197,392,,,
15.Total,,,,,,,340,338,678,1,1,2
16,Government Boys Primary School Tiba Chandia,Tibba CHANDIA KALAN,229050204,,,,254,356,610,2,2,4
"",,Tiba CHANDIA KALAN,229050205,,,,347,194,541,,,
16.Total,,,,,,,601,550,1151,2,2,4
17,"Government Boys Elementary School BastiCheena",BastiCHHINA,229010101,,,,166,0,166,2,2,4
"",,BastiCHHINA,229010102,,,,219,0,219,,,
"",,BastiCHHINA,229010104,,,,453,0,453,,,
17.Total,,,,,,,838,0,838,2,2,4
18,Govt. Boys Elementary School Basti Cheena,Basti Cheena,229010105,,,,337,200,537,2,2,4
"",,Basti Cheena,229010116,,,,225,5,230,,,
18.Total,,,,,,,562,205,767,2,2,4
19,Government Girls High School Basti Cheena,BastiCHHINA,229010103,,,,587,494,1081,2,1,3
19.Toal,,,,,,,587,494,1081,2,1,3
20,"Government Girls Elementary School HameedWala",BastiMIRAN,229010905,,,,0,238,238,0,2,2
"",,BastiMIRAN,229010906,,,,0,258,258,,,
"",,BastiMIRAN,229010907,,,,0,266,266,,,
"",,BastiMIRAN,229010908,,,,0,210,210,,,
20.Total,,,,,,,0,972,972,0,2,2
21,"Government Boys Elementary School HameedWala",BastiMIRAN,229010905,,,,283,0,283,3,0,3
"",,BastiMIRAN,229010906,,,,364,0,364,,,
"",,BastiMIRAN,229010907,,,,284,0,284,,,
"",,BastiMIRAN,229010908,,,,297,0,297,,,
21.Total,,,,,,,1228,0,1228,3,0,3
22,"Government Boys Primary School Hamid WalaMallan Wala",MALLAN WALA,229010901,,,,310,244,554,2,2,4
"",,MALLAN WALA,229010902,,,,599,491,1090,,,
22.Total,,,,,,,909,735,1644,2,2,4
23,Govt. Primary School Fojay Wala,MALLAN WALA,229010204,,,,412,317,729,2,2,4
"",,MALLAN WALA,229010903,,,,80,80,160,,,
23.Total,,,,,,,492,397,889,2,2,4
24,Government Maktab Primary School Basti Waja,BastiWAJA,229010909,,,,393,272,665,2,2,4
"",,BastiWAJA,229010910,,,,409,315,724,,,
24.Total,,,,,,,802,587,1389,2,2,4
25,"Government Boys Primary School DoorhattaSharqi",BastiRINDAN,229050801,,,,418,211,629,2,2,4
"",,BastiRINDAN,229050802,,,,306,349,655,,,
25.Total,,,,,,,724,560,1284,2,2,4
26,Government Boys Primary School Bahar Pir,BastiRINDAN,229050803,,,,353,428,781,2,2,4
"",,BastiRINDAN,229050804,,,,368,109,477,,,
26.Total,,,,,,,721,537,1258,2,2,4
27,"Government Boys Post Graduate Degree CollegeJampur",BastiRINDAN,229050805,,,,346,225,571,2,2,4
"",,BastiRINDAN,229050806,,,,246,169,415,,,
"",,BastiRINDAN,229050807,,,,55,75,130,,,
27.Total,,,,,,,647,469,1116,2,2,4
28,"Government Boys Post Graduate Degree CollegeJampur",,,,,,0,0,0,2,2,4
"",,BastiRINDAN,229050805,,,,346,225,571,,,
"",,BastiRINDAN,229050806,,,,246,169,415,,,
"",,BastiRINDAN,229050807,,,,55,75,130,,,
28.Total,,,,,,,647,469,1116,2,2,4
29,Govt. Boys Degree College Jampur,Basti Rindan,229050810,,,,794,669,1463,3,2,5
"",,Basti Rindan,229050811,,,,412,295,707,,,
"",,Basti Rindan,229050812,,,,378,332,710,,,
29.Total,,,,,,,1584,1296,2880,3,2,5
30,Government Boys Degree College Jampur,BastiRINDAN,229050808,,,,488,376,864,2,2,4
"",,BastiRINDAN,229050809,,,,462,412,874,,,
30.Total,,,,,,,950,788,1738,2,2,4
31,"Government Boys Elementary School LangrialSahan Wala",SHAHEN WALA,229010801,,,,556,444,1000,2,2,4
SHAHEN WALA,229010802,,,,492,315,807,,,,,
""
""
32,"Government Girls Primary School Nadeem ShahSahan Wala",SHAHEN WALA,229010803,,,,234,200,434,2,2,4
"",,SHAHEN WALA,229010804,,,,215,187,402,,,
"",,SHAHEN WALA,229010805,,,,435,335,770,,,
32.Total,,,,,,,884,722,1606,2,2,4
33,Government Boys Primary School Pool Wala,POLE WALA,229010806,,,,290,227,517,2,2,4
"",,POLE WALA,229010807,,,,349,294,643,,,
"",,POLE WALA,229010808,,,,49,32,81,,,
33.Total,,,,,,,688,553,1241,2,2,4
34,Government Primary School Toba Jadid,Shahen wala,229010809,,,,396,236,632,2,2,4
"",,Shahen Wala,229010810,,,,251,137,388,,,
"",,Shahen Wala,229010811,,,,244,295,539,,,
"",,Shahen wala,229010812,,,,113,63,176,,,
34.Total,,,,,,,1004,731,1735,2,2,4
35,Government Girls Primary School Kotla Daha,Kotla Daha,229050501,,,,0,406,406,0,4,4
"",,Kotla Daha,229050502,,,,0,175,175,,,
"",,Kotla Daha,229050503,,,,0,349,349,,,
"",,Bhano Wala,229050504,,,,0,120,120,,,
35.Total,,,,,,,0,1050,1050,0,4,4
36,Government Boys Primary School Kotla Daha,Kotla Daha,229050501,,,,440,0,440,4,0,4
"",,Kotla Daha,229050502,,,,273,0,273,,,
"",,BHANo. WALA,229050503,,,,446,0,446,,,
"",,Bhano Wala,229050504,,,,193,0,193,,,
36.Total,,,,,,,1352,0,1352,4,0,4
37,Government Boys Primary School Taray Wala,,,Chah Lohar Wala,229080101,,76,0,76,2,0,2
"",,,,Gulshan Saeed Colony,229080102,,543,0,543,,,
"",,,,Turk Abad,229080103,,520,0,520,,,
37.Total,,,,,,,1139,0,1139,2,0,2
38,Office Agriculture officer Jampur,,,Chah Lohar Wala,229080101,,0,75,75,0,2,2
"",,,,Gulshan Saeed Colony,229080102,,0,169,169,,,
"",,,,Turk Abad,229080103,,0,427,427,,,
38.Total,,,,,,,0,671,671,0,2,2
39,Government Girls Primary School Mehray Wala,,,Farooq Town,229080104,,0,264,264,0,3,3
"",,,,Khosa Colony,229080105,,0,413,413,,,
"",,,,Gulshan Saeed Colony,229080106,,0,455,455,,,
"",,,,Farooq Town,229080107,,0,148,148,,,
"",,,,Khosa Colony,229080108,,0,68,68,,,
"",,,,Khosa Colony,229080109,,0,90,90,,,
39.Total,,,,,,,0,1438,1438,0,3,3
40,"Government Boys Model Primary School No.6Jam Pur",,,Farooq Town,229080104,,347,0,347,3,0,3
"",,,,Khosa Colony,229080105,,493,0,493,,,
"",,,,Ghulsan Saeed,229080106,,159,0,159,,,
"",,,,Farooq Twon,229080107,,193,0,193,,,
"",,,,Khosa colony,229080108,,96,0,96,,,
"",,,,Khosa Colony,229080109,,188,0,188,,,
40.Total,,,,,,,1476,0,1476,3,0,3
41,"ABAD Technical Training Center JampurAdjacent to PS city Jampur",,,AwamColony,229080201,,247,0,247,3,0,3
"",,,,AwamColony,229080202,,410,0,410,,,
"",,,,AwamColony,229080203,,609,0,609,,,
"",,,,AwamColony,229080204,,94,0,94,,,
41.Total,,,,,,,1360,0,1360,3,0,3
42,Government Girls High School Jam Pur,,,AwamColony,229080201,,0,244,244,0,3,3
"",,,,AwamColony,229080202,,0,386,386,,,
"",,,,AwamColony,229080203,,0,569,569,,,
"",,,,AwamColony,229080204,,0,86,86,,,
42.Total,,,,,,,0,1285,1285,0,3,3
"",,Kotla Peeran Shah,229080301,,537,0,537,,,,,
"",,,,Darra Thakray wala,229080305,,583,0,583,,,
43.Total,,,,,,,1331,0,1331,4,0,4
44,Government City High School Jam Pur,,,Kotla Peeran Shah,229080301,,0,469,469,0,4,4
"",,,,Kotla Peeran Shah,229080303,,0,166,166,,,
"",,,,Darra Thakray wala,229080305,,0,480,480,,,
44.Total,,,,,,,0,1115,1115,0,4,4
45,"Government Boys Elementary School No.2 JamPur",,,Kotla Peeran Shah,229080302,,45,0,45,4,0,4
"",,,,Kotla Peeran Shah,229080304,,567,0,567,,,
"",,,,Ali Pur,229080306,,349,0,349,,,
45.Total,,,,,,,961,0,961,4,0,4
46,Government Degree College for Women,,,Kotla Peeran Shah,229080302,,0,42,42,0,4,4
"",,,,Kotla Peeran Shah,229080304,,0,462,462,,,
"",,,,Ali Pur,229080306,,0,317,317,,,
46.Total,,,,,,,0,821,821,0,4,4
47,Government Commerce College Jam Pur,,,Mohammad Alpur/ Bakru wala,229080307,,521,0,521,3,0,3
"",,,,Hayderiya Colony,229080401,,613,0,613,,,
"",,,,Mohallah Ali,229080402,,3,0,3,,,
"",,,,Kotla Peran Shah,229080308,,244,0,244,,,
47.Total,,,,,,,1381,0,1381,3,0,3
48,Government Commerce College Jampur,,,Dara Thakry Wala,229080309,,462,0,462,3,0,3
"",,,,Dara Thakry Wala,229080310,,416,0,416,,,
"",,,,Ali pur,229080311,,500,0,500,,,
"",,,,Ali Pur,229080312,,370,0,370,,,
48.Total,,,,,,,1748,0,1748,3,0,3
49,Govternment Degree College for women,,,Dara Thakry wala,229080309,,0,419,419,0,3,3
"",,,,Dara Thakry Wala,229080310,,0,359,359,,,
"",,,,Ali Pur,229080311,,0,430,430,,,
"",,,,Ali Pur,229080312,,0,338,338,,,
49.Total,,,,,,,0,1546,1546,0,3,3
50,Government Degree College for Women,,,Mohammad Alpur/ Bakru wala,229080307,,0,410,410,0,3,3
"",,,,Hayderiya Colony,229080401,,0,500,500,,,
"",,,,Mohallah Ali,229080402,,0,7,7,,,
"",,,,Kot Peran Shah,229080308,,0,217,217,,,
50.Total,,,,,,,0,1134,1134,0,3,3
51,Darul Falah Jam Pur,,,Mohallah Chandiya,229080403,,0,132,132,0,3,3
"",,,,Mohallah Gormani,229080404,,0,465,465,,,
"",,,,Mohallah Islamabad Abad,229080405,,0,392,392,,,
51.Total,,,,,,,0,989,989,0,3,3
52,Government Boys Primary School No.5 Jam Pur,,,Mohallah Chandiya,229080403,,144,0,144,3,0,3
"",,,,Mohallah Gormani,229080404,,532,0,532,,,
"",,,,Mohallah Islamabad Abad,229080405,,323,0,323,,,
52.Total,,,,,,,999,0,999,3,0,3
53,Government Girls Primary School Massan Shah,,,Mohallah Jaman Shah,229080406,,0,524,524,0,3,3
"",,,,Gulshan Colony,229080407,,0,1055,1055,,,
"",,,,Mohallah Ali,229080408,,0,415,415,,,
53.Total,,,,,,,0,1994,1994,0,3,3
54,Government Boys Primary School No.4 Jam Pur,,,Mohallah Jaman Shah,229080406,,604,0,604,4,0,4
"",,,,Gulshan Colony,229080407,,1432,0,1432,,,
"",,,,Mohallah Ali,229080408,,550,0,550,,,
54.Total,,,,,,,2586,0,2586,4,0,4
55,"Government Girls Primary School Kotla PiranShah No.2 Jam Pur",,,Mohallah Qaziiyan,229080501,,579,0,579,3,0,3
"",,,,Mohallah Qureshi,229080503,,691,0,691,,,
"",,,,Mohallah Araeen,229080507,,418,0,418,,,
55.Total,,,,,,,1688,0,1688,3,0,3
56,"Government Girls Primary School Basti NoorMuhammad No.2 Jam Pur Sharqi",,,Mohallah Qaziiyan,229080501,,0,533,533,0,2,2
"",,Mohallah Qureshi,229080503,,0,572,572,,,,,
"",,Mohallah Araeen,229080507,,0,369,369,,,,,
57,Government Girls Primary School No.1 Jam Pur,,,Mohallah Chaudhry,229080502,,0,391,391,0,2,2
"",,,,Mohallah Arif Saeed Colony,229080504,,0,163,163,,,
"",,,,Mohallah Kastoori,229080505,,0,288,288,,,
"",,,,Mohallah Usmaniya,229080506,,0,225,225,,,
"",,,,Mohallah GadKallan,229080508,,0,260,260,,,
57.Total,,,,,,,0,1327,1327,0,2,2
58,"Government Boys Elementary School No.1 JamPur",,,Mohallah Chaudhry,229080502,,477,0,477,3,0,3
"",,,,Mohallah Arif Saeed Colony,229080504,,190,0,190,,,
"",,,,Mohallah Kastoori,229080505,,357,0,357,,,
"",,,,Mohallah Usmaniya,229080506,,292,0,292,,,
"",,,,Mohallah GadKallan,229080508,,312,0,312,,,
58.Total,,,,,,,1628,0,1628,3,0,3
59,Government Girls High School No.2 Jam Pur,,,Lal Parwana,229080601,,0,424,424,0,2,2
"",,,,MadnColony,229080602,,0,360,360,,,
"",,,,Mohammadiya Colony,229080603,,0,91,91,,,
59.Total,,,,,,,0,875,875,0,2,2
60,"Government Boys Elementary School No.3 JamPur",,,Lal Parwana,229080601,,460,0,460,3,0,3
"",,,,MadnColony,229080602,,432,0,432,,,
"",,,,Mohammadiya Colony,229080603,,92,0,92,,,
60.Total,,,,,,,984,0,984,3,0,3
61,Government Boys Model High School Jam Pur,,,Mohammadiya Colony,229080604,,555,0,555,3,0,3
"",,,,Mohallah Mohammadia,229080609,,410,0,410,,,
61.Total,,,,,,,965,0,965,3,0,3
62,Government Girls High School No.1 Jam Pur,,,Mohammadiya Colony,229080604,,0,452,452,0,3,3
"",,,,Mohammadiya Colony,229080609,,0,502,502,,,
62.Total,,,,,,,0,954,954,0,3,3
63,Govternment Girls High School Jampur No. 1,,,Mohallah Mohammadiya,229080610,,0,556,556,0,4,4
"",,,,Mohallah Arif,229080612,,0,232,232,,,
63.Total,,,,,,,0,788,788,0,4,4
64,Government Girls High School No. 1 Jampur,,,Mohallah Arif Saeed,229080613,,0,209,209,0,3,3
"",,,,Mohallah Arif Saeed,229080614,,0,247,247,,,
"",,,,Mohallah Arif Saeed,229080615,,0,221,221,,,
"",,,,Mohallah Arif Saeed,229080616,,0,319,319,,,
64.Total,,,,,,,0,996,996,0,3,3
65,Government Girls High School No. 1 Jampur,,,Mohallah Arif,229080617,,0,134,134,0,3,3
"",,,,Mohallah Arif,229080618,,0,404,404,,,
"",,,,Arif Saeed,229080619,,0,215,215,,,
"",,,,Noor Shah Ghazi,229080620,,0,200,200,,,
65.Total,,,,,,,0,953,953,0,3,3
66,Government Boys Model High School Jam Pur,,,Arif Saeed Colony,229080605,,0,0,0,3,0,3
"",,,,Arif Saeed Colony,229080611,,328,0,328,,,
66.Total,,,,,,,328,0,328,3,0,3
67,Government Boys Model High School Jampur,,,Mohallah Mohammadiya,229080610,,760,0,760,3,0,3
"",,,,Arif Saeed Colony,229080612,,259,0,259,,,
67.Total,,,,,,,1019,0,1019,3,0,3
68,Government Boys Model High School Jampur,,,Mohllah Arif Saeed,229080613,,252,0,252,3,0,3
"",,,,Mohallah Arif Saeed,229080614,,285,0,285,,,
"",,,,Mohallah Arif Saeed,229080615,,296,0,296,,,
"",,,,Mohallah Arif Saeed,229080616,,379,0,379,,,
68.Total,,,,,,,1212,0,1212,3,0,3
69,Government Boys Model High School Jampur,,,Mohallah Arif,229080617,,178,0,178,4,0,4
"",,,,Mohallah Arif,229080618,,572,0,572,,,
"",,,,Arif Saeed,229080619,,322,0,322,,,
"",,,,Noor Shah Ghazi,229080620,,245,0,245,,,
69.Total,,,,,,,1317,0,1317,4,0,4
70,Sir Syed Public School Jampur,,,Arif Saeed Colony,229080605,,0,0,0,0,3,3
"",,,,Arif Saeed Colony,229080611,,0,312,312,,,
70.Total,,,,,,,0,312,312,0,3,3
71,Government Boys Model High School Jam Pur,,,Arif Saeed Colony,229080606,,657,0,657,3,0,3
"",,,,Noor Shah Ghazi,229080607,,378,0,378,,,
"",,,,Lal Parwana,229080608,,505,0,505,,,
71.Total,,,,,,,1540,0,1540,3,0,3
"",,Arif Saeed Colony,229080606,,0,627,627,,,,,
"",,,,Lal Parwana,229080608,,0,455,455,,,
72.Total,,,,,,,0,1442,1442,0,3,3
73,"Government Boys Elementary School TattarWala",TATAR WALA,229050611,,,,239,0,239,4,0,4
