Sr No.,Polling Station Name,In case of Rural Areas,In Case of Urban Area,"S.NO. of Voterson the electoralRoll in caseelectoral area inbifurcated","No. of Voters Against to Pollingstations",No. of Polling Boths,,,,,,
"",,TATAR WALA,229050612,,,,251,0,251,,,
"",,TATAR WALA,229050614,,,,608,0,608,,,
"",,TATAR WALA,229050615,,,,403,0,403,,,
"",,TATAR WALA,229050616,,,,165,0,165,,,
"",,TATAR WALA,229050617,,,,346,0,346,,,
73.Total,,,,,,,2012,0,2012,4,0,4
74,"Government Boys Elementary School TattarWala",TATAR WALA,229050611,,,,0,190,190,0,3,3
"",,TATAR WALA,229050612,,,,0,187,187,,,
"",,TAR WALA,229050614,,,,0,460,460,,,
"",,TATAR WALA,229050615,,,,0,390,390,,,
"",,TATAR WALA,229050616,,,,0,173,173,,,
"",,TATAR WALA,229050617,,,,0,280,280,,,
74.Total,,,,,,,0,1680,1680,0,3,3
75,Government Girls Primary School Basti Awan,TATAR WALA,229050613,,,,211,0,211,2,0,2
"",,TATAR WALA,229050618,,,,347,0,347,,,
"",,TATAR WALA,229050619,,,,131,0,131,,,
"",,TATAR WALA,229050622,,,,122,0,122,,,
"",,TATAR WALA,229050623,,,,271,0,271,,,
75.Total,,,,,,,1082,0,1082,2,0,2
76,Union Council Tatar Wala,TATAR WALA,229050613,,,,0,128,128,0,3,3
"",,TATAR WALA,229050618,,,,0,19,19,,,
"",,TATAR WALA,229050619,,,,0,394,394,,,
"",,TATAR WALA,229050622,,,,0,151,151,,,
"",,TATAR WALA,229050623,,,,0,203,203,,,
76.Total,,,,,,,0,895,895,0,3,3
77,"Government Girls Primary School No.1 GarhiSultan Shah",GARHSULTAN SHAH,229050601,,,,179,143,322,1,1,2
"",,GARHSULTAN SHAH,229050602,,,,297,272,569,,,
"",,GARHSULTAN SHAH,229050603,,,,187,122,309,,,
"",,GARHI SULTAN SHAH,229050621,,,,70,53,123,,,
"",,GARHI SULTAN SHAN,229050622,,,,63,19,82,,,
77.Total,,,,,,,796,609,1405,1,1,2
78,"Government Boys Primary School No.2 GarhiSultan Shah",GARHSULTAN SHAH,229050604,,,,96,84,180,2,2,4
"",,GARHSULTAN SHAH,229050605,,,,156,129,285,,,
"",,GARHSULTAN SHAH,229050606,,,,229,181,410,,,
"",,GARHSULTAN SHAH,229050607,,,,502,415,917,,,
78.Total,,,,,,,983,809,1792,2,2,4
79,"Government Girls Primary School No.2 GarhiSultan Shah",GARHSULTAN SHAH,229050608,,,,400,320,720,3,1,4
"",,GARHSULTAN SHAH,229050609,,,,612,456,1068,,,
"",,GARHSULTAN SHAH,229050610,,,,22,21,43,,,
79.Total,,,,,,,1034,797,1831,3,1,4
80,"Government Girls Elementary School TattarWala Jampur",JAMPUR RURAL,229050101,,,,308,0,308,4,0,4
"",,JAMPUR RURAL,229050102,,,,404,0,404,,,
"",,JAMPUR RURAL,229050103,,,,174,0,174,,,
"",,JAMPUR RURAL,229050104,,,,416,0,416,,,
"",,JAMPUR RURAL,229050105,,,,145,0,145,,,
"",,JAMPUR RURAL,229050106,,,,231,0,231,,,
"",,JAMPUR RURAL,229050107,,,,137,0,137,,,
"",,JAMPUR RURAL,229050108,,,,154,0,154,,,
80.Total,,,,,,,1969,0,1969,4,0,4
JAMPUR RURAL,229050101,,,,0,261,261,,,,,
JAMPUR RURAL,229050102,,,,0,261,261,,,,,
JAMPUR RURAL,229050103,,,,0,203,203,,,,,
JAMPUR RURAL,229050104,,,,0,247,247,,,,,
JAMPUR RURAL,229050105,,,,0,239,239,,,,,
JAMPUR RURAL,229050106,,,,0,195,195,,,,,
"",,JAMPUR RURAL,229050108,,,,0,40,40,,,
81.Total,,,,,,,0,1540,1540,0,3,3
82,Government Boys Primary School Basti Gaddan,BastiGUDDAN,229051007,,,,345,0,345,4,0,4
"",,BastiGUDDAN,229051008,,,,302,0,302,,,
"",,BastiGUDDAN,229051009,,,,242,0,242,,,
"",,BastiGUDDAN,229051010,,,,547,0,547,,,
"",,Basti Guddan,229051011,,,,98,0,98,,,
"",,Basti Guddan,229051012,,,,436,0,436,,,
"",,Basti Guddan,229051013,,,,319,0,319,,,
82.Total,,,,,,,2289,0,2289,4,0,4
83,Government Girls Primary School Basti Gaddan,BastiGUDDAN,229051007,,,,0,277,277,0,4,4
"",,BastiGUDDAN,229051008,,,,0,240,240,,,
"",,BastiGUDDAN,229051009,,,,0,197,197,,,
"",,BastiGUDDAN,229051010,,,,0,200,200,,,
"",,Basti Guddan,229051011,,,,0,280,280,,,
"",,Basti Guddan,229051012,,,,0,297,297,,,
"",,Basti Guddan,229051013,,,,0,346,346,,,
83.Total,,,,,,,0,1837,1837,0,4,4
84,Government Boys High School Nawan Baigraj,NAWAN BEGRAJ,229051001,,,,605,0,605,4,0,4
"",,NAWAN BEGRAJ,229051002,,,,157,0,157,,,
"",,NAWAN BEGRAJ,229051003,,,,372,0,372,,,
"",,NAWAN BEGRAJ,229051004,,,,254,0,254,,,
84.Total,,,,,,,1388,0,1388,4,0,4
85,Government Boys High School Nawan Begraj,NAWAN BEGRAJ,229051005,,,,391,0,391,2,0,2
"",,NAWAN BEGRAJ,229051006,,,,270,0,270,,,
"",,NAWAN BEGRAJ,229051014,,,,579,0,579,,,
85.Total,,,,,,,1240,0,1240,2,0,2
86,Government Girls High School Nawan Begraj,Nawan Begraj,229051005,,,,0,320,320,0,2,2
"",,Nawan Begraj,229051006,,,,0,211,211,,,
"",,Nawan Begraj,229051014,,,,0,456,456,,,
86.Total,,,,,,,0,987,987,0,2,2
87,Government Girls High School Nawan Baigraj,NAWAN BEGRAJ,229051001,,,,0,508,508,0,8,8
"",,NAWAN BEGRAJ,229051002,,,,0,222,222,,,
"",,NAWAN BEGRAJ,229051003,,,,0,315,315,,,
"",,NAWAN BEGRAJ,229051004,,,,0,180,180,,,
87.Total,,,,,,,0,1225,1225,0,8,8
88,"Government Girls Model Primary School MudAhmad Khan Sahoo Wala",SAHO WALA,229050901,,,,608,464,1072,2,1,3
"",,SAHO WALA,229050902,,,,474,361,835,,,
88.Total,,,,,,,1082,825,1907,2,1,3
89,"Government Boys Elementary School Basti MadRindan Tibbi Lundaan",TIBBLUNDAN,229010602,,,,55,0,55,2,0,2
"",,TIBBLUNDAN,229010603,,,,208,0,208,,,
"",,TIBBLUNDAN,229010604,,,,1322,0,1322,,,
89.Total,,,,,,,1585,0,1585,2,0,2
90,"Government Boys Elementary School Basti MadRindan Tibbi Lundan",Tibbi Lundan,229010602,,,,0,31,31,0,3,3
"",,Tibbi Lundan,229010603,,,,0,125,125,,,
"",,Tibbi Lundan,229010604,,,,0,862,862,,,
90.Total,,,,,,,0,1018,1018,0,3,3
91,Government Boys High School Tibbi Lundan,TIBBLUNDAN,229010601,,,,1177,763,1940,2,1,3
91.Total,,,,,,,1177,763,1940,2,1,3
92,Government Boys Primary School Ali Abad,ALABAD,229010206,,,,574,383,957,1,1,2
"",,BETA,229010207,,,,57,20,77,,,
92.Total,,,,,,,631,403,1034,1,1,2
93,"Government Girls Primary School Thul AliMuhammad",Thul Ali Mohammad,229010201,,,,308,333,641,3,1,4
"",,Thul Ali Mohammad,229010202,,,,347,197,544,,,
"",,Thul Ali Mohammad,229010203,,,,255,249,504,,,
"",,Thul Ali Mohammad,229010204,,,,519,300,819,,,
"",,Thul Ali Mohammad,229010205,,,,321,112,433,,,
93.Total,,,,,,,1750,1191,2941,3,1,4
94,Government Girls Primary School Thul Hairo,THUL HERO,229010401,,,,795,504,1299,2,2,4
THUL HERO,229010402,,,,388,264,652,,,,,
THUL HERO,229010403,,,,267,173,440,,,,,
THUL HERO,229010404,,,,369,274,643,,,,,
""
""
95,Government Boys Primary School Thul Jannan,THUL JANAN,229010405,,,,418,233,651,1,1,2
"",,THUL JANAN,229010406,,,,193,135,328,,,
95.Total,,,,,,,611,368,979,1,1,2
96,"Government Boys Primary School Basti LashkarKhan Thul Seerak",THUL GANMON,229010301,,,,286,193,479,2,2,4
"",,THUL GANMON,229010302,,,,129,113,242,,,
"",,THUL SIRAK,229010303,,,,447,325,772,,,
96.Total,,,,,,,862,631,1493,2,2,4
97,"Government Boys Primary School Karim AbadBasti Hooran Khosa Thul Alam",RAQBA DOODIANI,229010304,,,,427,370,797,2,2,4
"",,BastiSHAH ALBOHAR,229010305,,,,332,278,610,,,
"",,THUL ALAM KHAN,229010605,,,,440,209,649,,,
"",,LEK WALA,229050301,,,,40,28,68,,,
97.Total,,,,,,,1239,885,2124,2,2,4
98,"Government Boys Primary School RaqbaLundan Karam Khan Lund",RAQBA LUNDAN,229010701,,,,1660,845,2505,2,2,4
"",,KotliJAMAL,229010702,,,,278,171,449,,,
"",,KotliJAMAL,229010703,,,,119,49,168,,,
98.Total,,,,,,,2057,1065,3122,2,2,4
99,"Government Boys Primary School MuhammadPur Hanbhi",MOHAMMAD PUR HANBHI,229050302,,,,131,102,233,2,1,3
"",,MOHAMMAD PUR HANBHI,229050303,,,,461,332,793,,,
"",,MOHAMMAD PUR HANBHI,229050304,,,,106,71,177,,,
"",,MOHAMMAD PUR HANBHI,229050305,,,,65,40,105,,,
"",,MOHAMMAD PUR HANBHI,229050306,,,,24,14,38,,,
"",,MOHAMMAD PUR HANBHI,229050307,,,,40,19,59,,,
"",,MOHAMMAD PUR HANBHI,229050308,,,,31,18,49,,,
"",,MOHAMMAD PUR HANBHI,229050309,,,,28,15,43,,,
99.Total,,,,,,,886,611,1497,2,1,3
100,Government Boys Primary School Veeni Khosa,CHATRO FAQIR,229050310,,,,6,6,12,1,1,2
"",,CHATRO FAQIR,229050311,,,,49,32,81,,,
"",,KHOOSA,229050312,,,,420,399,819,,,
"",,"RAKH REGISTANSHUMALI",229050313,,,,0,0,0,,,
100.Total,,,,,,,475,437,912,1,1,2
101,"Government Girls Primary School BastiDhandhla",BastiDHANDLA,229070401,,,,464,358,822,2,1,3
"",,BastiDHANDLA,229070404,,,,332,218,550,,,
101.Total,,,,,,,796,576,1372,2,1,3
102,Government Boys Primary School Wah saidan,BastiDHANDLA,229070402,,,,448,362,810,2,2,4
"",,BastiDHANDLA,229070403,,,,748,573,1321,,,
102.Total,,,,,,,1196,935,2131,2,2,4
103,Basic Health Unit Tul Shumali,TAL SHUMALI,229070901,,,,605,452,1057,2,2,4
103.Total,,,,,,,605,452,1057,2,2,4
104,"Government Boys Primary School Mud GodaraTal Shumali",TAL SHUMALI,229070903,,,,633,490,1123,1,1,2
104.Total,,,,,,,633,490,1123,1,1,2
105,Government Boys Primary School Salim Pura,TAL SHUMALI,229070902,,,,572,454,1026,1,1,2
105.Total,,,,,,,572,454,1026,1,1,2
106,"Government Boys Primary School BastiKalhoora",TAL SHUMALI,229070904,,,,686,501,1187,2,1,3
"",,TAL SHUMALI,229070905,,,,351,261,612,,,
"",,TAL SHUMALI,229070906,,,,434,349,783,,,
106.Total,,,,,,,1471,1111,2582,2,1,3
107,Government Boys Primary School Siddique Abad,KALLOWALA,229010502,,,,833,682,1515,2,2,4
107.Total,,,,,,,833,682,1515,2,2,4
108,"Government Boys Elementary School IqbalNagar",KALLOWALA,229010501,,,,313,225,538,1,1,2
"",,KALLOWALA,229010503,,,,338,287,625,,,
108.Total,,,,,,,651,512,1163,1,1,2
109,Government Boys Primary School Hafiz Abad,KALLOWALA,229010504,,,,686,478,1164,2,1,3
"",,KALLOWALA,229010505,,,,509,362,871,,,
109.Total,,,,,,,1195,840,2035,2,1,3
110,"Government Boys Elementary School IqbalNagar",BastiJINDU KHAN,229010506,,,,566,431,997,1,1,2
"",,GINIHARR,229010507,,,,32,13,45,,,
110.Total,,,,,,,598,444,1042,1,1,2
111,Government Boys Primary School Patti Qazi,Patti Qazi,229070305,,,,223,246,469,2,2,4
"",,Patti Qazi,229070306,,,,170,171,341,,,
"",,Patti Qazi,229070307,,,,224,195,419,,,
111.Total,,,,,,,929,855,1784,2,2,4
112,Government Boys Primary School Basti Dal,Patti Machi,229070301,,,,236,170,406,1,1,2
"",,Patti Machi,229070302,,,,368,308,676,,,
"",,Patti Machi,229070303,,,,19,19,38,,,
112.Total,,,,,,,623,497,1120,1,1,2
113,Canal Rest House Dajal,Mohallah Mochiyan,229090101,,,,601,0,601,2,0,2
"",,Allah Abad Colony,229090102,,,,222,0,222,,,
"",,Mohallah Parara,229090107,,,,417,0,417,,,
113.Total,,,,,,,1240,0,1240,2,0,2
114,Government Boys Primary School No.2 Dajal,Mohallah Mochiyan,229090101,,,,0,477,477,0,2,2
"",,Allah Abad Colony,229090102,,,,0,186,186,,,
"",,Mohallah Qaziiyan,229090107,,,,0,360,360,,,
114.Total,,,,,,,0,1023,1023,0,2,2
115,Government Boys Primary School No.3 Dajal,Mohallah Dhandla,229090104,,,,785,0,785,3,0,3
"",,Mohallah Kumharan,229090105,,,,362,0,362,,,
"",,Mohallah Qasab,229090106,,,,530,0,530,,,
115.Total,,,,,,,1677,0,1677,3,0,3
116,Government Girls Primary School No.2 Dajal,Mohallah Dhandla,229090104,,,,0,612,612,0,2,2
"",,Mohallah Kumharan,229090105,,,,0,278,278,,,
"",,Mohallah Qasab,229090106,,,,0,454,454,,,
116.Total,,,,,,,0,1344,1344,0,2,2
117,Union Council Office Dajal,Mohallah Qaziiyan,229090103,,,,282,0,282,4,0,4
"",,Mohallah Machiiyan,229090201,,,,528,0,528,,,
"",,Near Grid Station,229090202,,,,392,0,392,,,
"",,Mohallah Qaziiyan,229090208,,,,338,0,338,,,
117.Total,,,,,,,1540,0,1540,4,0,4
118,"Government Girls Higher Secondary SchoolDajal",Mohallah Parara,229090103,,,,0,215,215,0,3,3
"",,Mohallah Machiiyan,229090201,,,,0,444,444,,,
"",,Near Grid Station,229090202,,,,0,339,339,,,
"",,Mohallah Qaziiyan,229090208,,,,0,315,315,,,
118.Total,,,,,,,0,1313,1313,0,3,3
119,Government Boys Primary School No.1 Dajal,Mohallah Qasab,229090203,,,,0,917,917,0,2,2
"",,Mohallah Sadat Bukhari,229090204,,,,0,235,235,,,
119.Total,,,,,,,0,1152,1152,0,2,2
120,"Government Boys Higher Secondary SchoolDajal",Mohallah Qasab,229090203,,,,1069,0,1069,4,0,4
"",,Mohallah Sadat Bukhari,229090204,,,,265,0,265,,,
120.Total,,,,,,,1334,0,1334,4,0,4
121,"Government Boys Higher Secondary SchoolDajal",Mohallah Maharan,229090205,,,,527,457,984,2,1,3
121.Total,,,,,,,527,457,984,2,1,3
122,"Governmnet Boys Higher Secondary SchoolDajal",Mohallah Jal Wala,229090206,,,,579,460,1039,2,1,3
"",,Mohallah Khalifa,229090207,,,,299,277,576,,,
122.Total,,,,,,,878,737,1615,2,1,3
123,Government Boys Primary School Mud Malik,AZMAT WALA,229070603,,,,282,280,562,2,1,3
"",,AZMAT WALA,229070604,,,,494,396,890,,,
123.Total,,,,,,,776,676,1452,2,1,3
124,Government Elementary School Basti Waryam,RAQBA DHINGANA,229070601,,,,501,0,501,3,0,3
"",,RAQBA DHINGANA,229070602,,,,46,0,46,,,
"",,RAQBA DHINGANA,229070605,,,,391,0,391,,,
124.Total,,,,,,,938,0,938,3,0,3
125,Government Elementary School Basti Varyam,Rqba Dhingana,229070601,,,,0,401,401,0,3,3
"",,Rqba Dhingana,229070602,,,,0,28,28,,,
"",,Rqba Dhingana,229070605,,,,0,338,338,,,
125.Total,,,,,,,0,767,767,0,3,3
126,"Government Boys Primary School Basti JattanWatto Maoza Gaddan Wala",GUDAN WALA,229050702,,,,627,527,1154,2,2,4
"",,GUDAN WALA,229050703,,,,327,200,527,,,
"",,GUDAN WALA,229050704,,,,283,197,480,,,
126.Total,,,,,,,1237,924,2161,2,2,4
127,"Government Girls Primary School BastiAhmmad Din",PattiNABHAU RAM,229050701,,,,325,227,552,1,1,2
127.Total,,,,,,,325,227,552,1,1,2
RAKH AZMAT WALA,229050709,,,,256,0,256,,,,,
""
""
"",,RAKH AZMAT WALA,229050711,,,,198,0,198,,,
"",,RAKH AZMAT WALA,229050713,,,,402,0,402,,,
128.Total,,,,,,,1045,0,1045,4,0,4
129,"Government Boys High School Rakh AzmatWala",Rakh Azmat Wala,229050712,,,,183,0,183,3,0,3
"",,Rakh Azmat Wala,229050714,,,,498,0,498,,,
"",,Rakh Azmat Wala,229050715,,,,211,0,211,,,
"",,Rakh Azmat Wala,229050716,,,,199,0,199,,,
129.Total,,,,,,,1091,0,1091,3,0,3
130,Government Girls High School Rakh Azmat wala,Rakh Azmat Wala,229070709,,,,0,213,213,0,3,3
"",,Rakh Azmat Wala,229070710,,,,0,207,207,,,
"",,Rakh Azmat Wala,229070711,,,,0,123,123,,,
"",,Rakh Azmat Wala,229070713,,,,0,365,365,,,
130.Total,,,,,,,0,908,908,0,3,3
131,"Government Girls High School Rakh AzmatWala",Rakh Azmat Wala,229070712,,,,0,141,141,0,3,3
"",,Rakh Azmat Wala,229070714,,,,0,351,351,,,
"",,Rakh Azmat Wala,229070715,,,,0,215,215,,,
"",,Rakh Azmat Wala,229070716,,,,0,139,139,,,
131.Total,,,,,,,0,846,846,0,3,3
132,"Government Boys Primary School MahalMukwal Pir Bakhsh Jugiani",RAKH AZMAT WALA,229050706,,,,123,128,251,2,2,4
"",,RAKH AZMAT WALA,229050707,,,,124,112,236,,,
"",,RAKH AZMAT WALA,229050705,,,,219,164,383,,,
"",,RAKH AZMAT WALA,229050708,,,,230,201,431,,,
132.Total,,,,,,,696,605,1301,2,2,4
133,"Government Boys Primary School ManjothayWala",ALLAH ABAD SharqiI,229070101,,,,557,0,557,3,0,3
"",,ALLAH ABAD SharqiI,229070102,,,,335,0,335,,,
"",,ALLAH ABAD SharqiI,229070103,,,,397,0,397,,,
"",,ALLAH ABAD SharqiI,229070104,,,,355,0,355,,,
133.Total,,,,,,,1644,0,1644,3,0,3
134,"Government Girls Primary School ManjothayWala",ALLAH ABAD SharqiI,229070101,,,,0,365,365,0,2,2
"",,ALLAH ABAD SharqiI,229070102,,,,0,270,270,,,
"",,ALLAH ABAD SharqiI,229070103,,,,0,269,269,,,
"",,ALLAH ABAD SharqiI,229070104,,,,0,252,252,,,
134.Total,,,,,,,0,1156,1156,0,2,2
135,"Government Boys Primary School Hafiz NagarAllah Abad Sharqi",ALLAH ABAD SharqiI,229070105,,,,616,0,616,2,0,2
"",,ALLAH ABAD SharqiI,229070106,,,,538,0,538,,,
"",,ALLAH ABD SHARQI,229070107,,,,147,0,147,,,
"",,ALLAH ABAD SHARQI,229070108,,,,173,0,173,,,
135.Total,,,,,,,1474,0,1474,2,0,2
136,"Government Boys Primary School Hafiz NagarAllah Abad Sharqi",ALLAH ABAD SHARQI,229070105,,,,0,488,488,0,2,2
"",,ALLAH ABAD SHARQI,229070106,,,,0,384,384,,,
"",,ALLAH ABAD SHARQI,229070107,,,,0,124,124,,,
"",,ALLAH ABAD SHARQI,229070108,,,,0,126,126,,,
136.Total,,,,,,,0,1122,1122,0,2,2
137,Union Council Office Mut Khand,MURANJ,230020301,,,,32,17,49,2,1,3
"",,DARAZ THAL,230020302,,,,60,3,63,,,
"",,GULU THAL,230020303,,,,77,3,80,,,
"",,KHALARY THAL,230020304,,,,170,12,182,,,
"",,MAT KHUND,230020401,,,,502,75,577,,,
"",,BUKHTIAR KUND,230020402,,,,70,4,74,,,
"",,BANDLBAIT,230020403,,,,93,6,99,,,
137.Total,,,,,,,1004,120,1124,2,1,3
138,Government Boys Primary School Chitri,CHACHA,230020101,,,,49,6,55,2,1,3
"",,CHITTARY,230020102,,,,394,65,459,,,
"",,LOKI,230020201,,,,316,99,415,,,
"",,GORAN THAL,230020202,,,,227,61,288,,,
138.Total,,,,,,,986,231,1217,2,1,3
139,Government Boys Primary School Chitri,BUDHA THAL,230020103,,,,1202,400,1602,3,1,4
KHANAR KUND,230020501,,,,145,22,167,,,,,
SAKHBHOOR BUX,230020502,,,,22,13,35,,,,,
