ELECTION COMMISSION OF PAKISTAN,,,,,,,,,,,,
FORM-28,,,,,,,,,,,,
"[see rule 50]",,,,,,,,,,,,
LIST OFPOLLING STATIONS FOR A CONSTITUENCY,,,,,,,,,,,,
ELECTION TO THE NATIONALY ASSEMEBLY,,,,,,,,,,,,
No. and name of constituency NA-72 SLK-I,,,,,,,,,,,,
S.No,No.& Name of Polling Staion.,In case of rural area,In case of urban area,"S.No. ofvoters ontheElectoral","Number of Voters assigned toPolling Station",No. of Polling Booths,,,,,,
"",,"Name of Electoral RollsAreas.","CensusBlock Code.","Name of ElectoralRolls Areasassigned to the","CensusBlock CodeNumber",,,,,,,
"",,,,,,,"MaleFrom ;to","FemaleFrom to",Total.,Male,Female,Total
1,2,3,4,5,6,7,8,9,10,11,12,13
1,Government Girls Primary School Bhoth No.1 (Male)(P),CHAK RANI,178030101,,,,623,,623,,,
"",,KOT PURANA,178030109,,,,0,,0,,,
"",,BHOTH,178030110,,,,966,,966,,,
"",,,TOTAL:-,,,,1589,,1589,3,,3
2,"Government Girls Primary School Bhoth No.1(Female)(P)",CHAK RANI,178030101,,,,,493,493,,,
"",,KOT PURANA,178030109,,,,,0,0,,,
"",,BHOTH,178030110,,,,,705,705,,,
"",,,TOTAL:-,,,,,1198,1198,,2,2
3,"Government Boys Primary school Puli ToopKhana.(Male) (P)",MAHAL LEHLIAN,178030102,,,,271,,271,,,
"",,MAHAL LEHLIAN,178030103,,,,774,,774,,,
"",,MAHAL LEHLIAN,178030104,,,,220,,220,,,
"",,,TOTAL:-,,,,1265,,1265,2,,2
4,"Government Girls Primary school Puli ToopKhana.(Female) (P)",MAHAL LEHLIAN,178030102,,,,,190,190,,,
"",,MAHAL LEHLIAN,178030103,,,,,608,608,,,
"",,MAHAL LEHLIAN,178030104,,,,,209,209,,,
"",,,TOTAL:-,,,,,1007,1007,,2,2
5,Government Boys Elementary School Chak Mandhar. (P),MANDHAR (CHAK),178030105,,,,3,0,3,,,
"",,MANDHAR (CHAK),178030106,,,,903,744,1647,,,
"",,,TOTAL:-,,,,906,744,1650,2,1,3
6,"Government Girls Elementary School Rahim PurKhichian.(Male)(P)",RAHIM PUR KICHIAN,178030107,,,,594,,594,,,
"",,RAHIM PUR KICHIAN,178030108,,,,767,,767,,,
"",,,TOTAL:-,,,,1361,,1361,2,,2
7,"Government Girls Elementary School Rahim PurKhichian.(Female)(P)",RAHIM PUR KICHIAN,178030107,,,,,509,509,,,
"",,RAHIM PUR KICHIAN,178030108,,,,,639,639,,,
"",,,TOTAL:-,,,,,1148,1148,,2,2
8,Basic Health UnitBhoth (East) (Male) (P),BHOTH,178030111,,,,625,,625,,,
BHOTH,178030132,,,,95,,95,,,,,
BHOTH,178030112,,,,518,,518,,,,,
BHOTH,17803133,,,,507,,507,,,,,
"",TOTAL:-,,,,1745,,1745,3,,3,,
9,Basic Health UnitBhoth (East) (Female) (P),BHOTH,178030132,,,,,41,41,,,
"",,BHOTH,178030112,,,,,407,407,,,
"",,BHOTH,17803133,,,,,468,468,,,
"",,,TOTAL:-,,,,,1414,1414,,3,3
10,Government Model Elementry  School Bhoth (Male) (P),BHOTH,178030113,,,,409,,409,,,
"",,BHOTH,178030115,,,,510,,510,,,
"",,BHOTH,178030116,,,,412,,412,,,
"",,,TOTAL:-,,,,1331,,1331,2,,2
11,"Government Model Elementry  School Bhoth (Female)(P)",BHOTH,178030113,,,,,322,322,,,
"",,BHOTH,178030115,,,,,397,397,,,
"",,BHOTH,178030116,,,,,309,309,,,
"",,,TOTAL:-,,,,,1028,1028,,2,2
12,Government Model Elementry  School Bhoth.(P),BHOTH,178030114,,,,532,428,960,,,
"",,,TOTAL:-,,,,532,428,960,1,1,2
13,Basic Health UnitBhoth (West) (Male)(P),BHOTH,178030117,,,,789,,789,,,
"",,BHOTH,178030118,,,,461,,461,,,
"",,,TOTAL:-,,,,1250,,1250,2,,2
14,Basic Health UnitBhoth (West) (Female)(P),BHOTH,178030117,,,,,663,663,,,
"",,BHOTH,178030118,,,,,329,329,,,
"",,,TOTAL:-,,,,,992,992,,2,2
15,GovernmentBoys High School Bharath.(Male)(P),BHARATH,178030119,,,,284,,284,,,
BHARATH,178030120,,,,747,,747,,,,,
BHARATH,178030129,,,,278,,278,,,,,
"",TOTAL:-,,,,1309,,1309,2,,2,,
BHARATH,178030119,,,,,212,212,,,,,
BHARATH,178030120,,,,,610,610,,,,,
BHARATH,178030129,,,,,203,203,,,,,
17,Government Boys High School Bharath.(Male) (P),BHARATH,178030121,,,,415,,415,,,
"",,BHARATH,178030122,,,,454,,454,,,
"",,BHARATH,178030130,,,,539,,539,,,
"",,,TOTAL:-,,,,1408,,1408,2,,2
18,Government Boys High School Bharath.(Female) (P),BHARATH,178030121,,,,,308,308,,,
"",,BHARATH,178030122,,,,,383,383,,,
"",,BHARATH,178030130,,,,,462,462,,,
"",,,TOTAL:-,,,,,1153,1153,,2,2
19,Government Girls High School Bharath. (P),BHARATH,178030123,,,,172,169,341,,,
"",,BHARATH,178030131,,,,287,235,522,,,
"",,BHARATH,178030124,,,,273,234,507,,,
"",,,TOTAL:-,,,,732,638,1370,1,1,2
20,Government Girls High School Bharath.(Male) (P),BHARATH,178030125,,,,434,,434,,,
"",,BHARATH,178030126,,,,239,,239,,,
"",,BHARATH,178030127,,,,310,,310,,,
"",,BHARATH,178030128,,,,312,,312,,,
"",,,TOTAL:-,,,,1295,,1295,2,,2
21,Government Girls High School Bharath.(Female) (P),BHARATH,178030125,,,,,401,401,,,
"",,BHARATH,178030126,,,,,209,209,,,
"",,BHARATH,178030127,,,,,252,252,,,
"",,BHARATH,178030128,,,,,244,244,,,
"",,,TOTAL:-,,,,,1106,1106,,2,2
22,"GovernmentBoys Elementary Schooll Gul Bahar Kalan(Male) (P)",GUL BAHAR KALAN,178030201,,,,401,,401,,,
"",,GUL BAHAR KALAN,178030202,,,,213,,213,,,
"",,GUL BAHAR KALAN,178030203,,,,738,,738,,,
"",,GUL BAHAR KALAN,178030204,,,,332,,332,,,
"",,MAHAL TONKAN,178030207,,,,389,,389,,,
"",,CHAK KHALIL,178030210,,,,6,,6,,,
"",,,TOTAL:-,,,,2079,,2079,4,,4
23,"GovernmentBoys Elementary Schooll Gul Bahar Kalan(Female) (P)",GUL BAHAR KALAN,178030201,,,,,343,343,,,
"",,GUL BAHAR KALAN,178030202,,,,,182,182,,,
"",,GUL BAHAR KALAN,178030203,,,,,618,618,,,
"",,GUL BAHAR KALAN,178030204,,,,,266,266,,,
"",,MAHAL TONKAN,178030207,,,,,255,255,,,
"",,CHAK KHALIL,178030210,,,,,2,2,,,
"",,,TOTAL:-,,,,,1666,1666,,3,3
24,GovernmentBoys Primary School Karool. (P),KAROL,178030205,,,,455,359,814,,,
KAROL,178030206,,,,362,271,633,,,,,
"",TOTAL:-,,,,817,630,1447,1,1,2,,
DAIT,178030209,,,,694,543,1237,,,,,
"",,,TOTAL:-,,,,892,666,1558,1,1,2
26,Govt Boys Elementary School Mehdipur (P),MEHDI PUR,178040101,,,,505,358,863,,,
"",,MEHDI PUR,178040102,,,,221,164,385,,,
"",,MEHDI PUR,178040103,,,,307,217,524,,,
"",,,TOTAL:-,,,,1033,739,1772,2,2,4
27,Govt Girls Primary School Harspur Malanay(Male) (P),HARSPUR MAULANA,178040104,,,,354,,354,,,
"",,HARSPUR MAULANA,178040105,,,,184,,184,,,
"",,KASEREY,178040107,,,,275,,275,,,
"",,NAND PUR,178040110,,,,312,,312,,,
"",,,TOTAL:-,,,,1125,,1125,2,,2
28,Govt Girls Primary School Harspur Malanay(Female) (P),HARSPUR MAULANA,178040104,,,,,240,240,,,
"",,HARSPUR MAULANA,178040105,,,,,104,104,,,
"",,KASEREY,178040107,,,,,157,157,,,
"",,NAND PUR,178040110,,,,,206,206,,,
"",,,TOTAL:-,,,,,707,707,,2,2
29,Govt Girls Primary School Tilakpur (Male)(P),DHUL,178040106,,,,359,,359,,,
"",,TILAK PUR,178040109,,,,382,,382,,,
"",,KHOOG,178040111,,,,45,,45,,,
"",,PALURA KHURD,178041007,,,,283,,283,,,
"",,,TOTAL:-,,,,1069,,1069,2,,2
30,Govt Girls Primary School Tilakpur (Female)(P),DHUL,178040106,,,,,247,247,,,
TILAK PUR,178040109,,,,,276,276,,,,,
KHOOG,178040111,,,,,44,44,,,,,
PALURA KHURD,178041007,,,,,186,186,,,,,
"",TOTAL:-,,,,,753,753,,2,2,,
CHHANI ASRAN,178040108,,,,305,213,518,,,,,
RANG PUR JATTAN,178041009,,,,610,429,1039,,,,,
32,GovernmentBoys Primary School Jhumian Dalalan (P),BHATWAL,178040201,,,,547,403,950,,,
"",,BHATWAL,178040202,,,,70,36,106,,,
"",,MANDAL,178040203,,,,7,3,10,,,
"",,JHOMIAN DILALAN,178040204,,,,360,238,598,,,
"",,MOHAL,178040205,,,,0,0,0,,,
"",,,TOTAL:-,,,,984,680,1664,2,1,3
33,Govt. Model Primary School Suragpur(Male) (P),BANUT,178040501,,,,196,,196,,,
"",,SURAG PUR,178040505,,,,646,,646,,,
"",,SURAG PUR,178040506,,,,387,,387,,,
"",,,TOTAL:-,,,,1229,,1229,2,,2
34,Govt. Model Primary School Suragpur(Female) (P),BANUT,178040501,,,,,121,121,,,
"",,SURAG PUR,178040505,,,,,494,494,,,
"",,SURAG PUR,178040506,,,,,292,292,,,
"",,,TOTAL:-,,,,,907,907,,2,2
35,Government Model Primary School Chaprari (P),MALAGER PUR,178040502,,,,375,285,660,,,
"",,CHAPRARI,178041404,,,,644,448,1092,,,
"",,,TOTAL:-,,,,1019,733,1752,2,2,4
36,Govt . Girls High School  Najwal(Male) (P),NAJWAL,178040503,,,,352,,352,,,
"",,NAJWAL,178040504,,,,804,,804,,,
"",,,TOTAL:-,,,,1156,,1156,2,,2
37,Govt . Boys High School  Najwal(Female) (P),NAJWAL,178040503,,,,,238,238,,,
"",,NAJWAL,178040504,,,,,599,599,,,
"",,,TOTAL:-,,,,,837,837,,2,2
38,Govt Boys High School Chaprar Khas(Male)(P),CHAPRAR KHAS,178040507,,,,680,,680,,,
"",,CHAPRAR KHAS,178040508,,,,485,,485,,,
"",,CHAPRAR KHAS,178040509,,,,192,,192,,,
"",,,TOTAL:-,,,,1357,,1357,2,,2
39,Govt Girls High School Chaprar Khas(Female)(P),CHAPRAR KHAS,178040507,,,,,513,513,,,
"",,CHAPRAR KHAS,178040508,,,,,344,344,,,
"",,CHAPRAR KHAS,178040509,,,,,154,154,,,
"",,,TOTAL:-,,,,,1011,1011,,2,2
40,Govt. Model Elementry  School Salehpur (Male)(P),ABDAL,178040701,,,,7,,7,,,
BATOLI BARHAMANAN,178040702,,,,0,,0,,,,,
RARGALA,178040703,,,,0,,0,,,,,
CHAK BALO,178040704,,,,15,,15,,,,,
CHAK MISRI,178040705,,,,0,,0,,,,,
CHAK SULEHRIAN,178040706,,,,7,,7,,,,,
SALEH PUR,178041205,,,,291,,291,,,,,
SALEH PUR,178041206,,,,895,,895,,,,,
"",TOTAL:-,,,,1215,,1215,2,,2,,
41,Govt. Model Elementry  School Salehpur (Female)(P),BATOLI BARHAMANAN,178040702,,,,,0,0,,,
"",,RARGALA,178040703,,,,,0,0,,,
"",,CHAK BALO,178040704,,,,,16,16,,,
"",,CHAK MISRI,178040705,,,,,0,0,,,
"",,CHAK SULEHRIAN,178040706,,,,,4,4,,,
"",,SALEH PUR,178041205,,,,,190,190,,,
"",,SALEH PUR,178041206,,,,,609,609,,,
"",,,TOTAL:-,,,,,824,824,,2,2
42,Government Girls Primary School Chadali. (P),HAIL JATTAN,178040801,,,,0,0,0,,,
"",,SAID PUR,178040802,,,,142,125,267,,,
"",,CHADIALI,178040803,,,,440,292,732,,,
"",,MAHAL KHADAR,178040804,,,,0,0,0,,,
"",,TARAF,178040805,,,,0,0,0,,,
"",,DHANGAL,178041405,,,,323,232,555,,,
"",,,TOTAL:-,,,,905,649,1554,2,1,3
43,"Government Girs Elementary Schooll Kotli SaidMir.(Male) (P)",KOTLI SAID MIR,178040901,,,,669,,669,,,
"",,KOTLI SAID MIR,178040902,,,,107,,107,,,
"",,KOTLI SAID MIR,178040903,,,,345,,345,,,
"",,,TOTAL:-,,,,1121,,1121,2,,2
44,"Government Boys Primery School Kotli Said Mir.(Female)(P)",KOTLI SAID MIR,178040901,,,,,470,470,,,
"",,KOTLI SAID MIR,178040902,,,,,165,165,,,
"",,KOTLI SAID MIR,178040903,,,,,285,285,,,
"",,,TOTAL:-,,,,,920,920,,2,2
45,Govt Girls Primary School Pindi Heeran (P),PINDI HIRAN,178040904,,,,327,233,560,,,
RAMOON CHAK,178040907,,,,321,247,568,,,,,
"",TOTAL:-,,,,648,480,1128,1,1,2,,
ZAHOORA,178040905,,,,789,,789,,,,,
ZAHOORA,178040906,,,,586,,586,,,,,
47,Government Girls High School Zahura.(Female)(P),ZAHOORA,178040905,,,,,647,647,,,
"",,ZAHOORA,178040906,,,,,474,474,,,
"",,,TOTAL:-,,,,,1121,1121,,2,2
48,Government Girls Elementry School Bhairi.,SADDHA,178040908,,,,691,506,1197,,,
"",,,TOTAL:-,,,,691,506,1197,1,1,2
49,Govt .Boys Primary School Romal Jattan. (P),BAZ PUR,178041001,,,,161,114,275,,,
"",,ROMAL JATTAN,178041011,,,,398,328,726,,,
"",,,TOTAL:-,,,,559,442,1001,1,1,2
50,Govt Boys High School Kanpur. (P),KAN PUR,178041002,,,,377,272,649,,,
"",,KAN PUR,178041003,,,,596,477,1073,,,
"",,,TOTAL:-,,,,973,749,1722,2,2,4
51,Government Girls Primary School Panwal. (P),MAHET PUR,178041004,,,,285,193,478,,,
"",,PANWAL,178041008,,,,535,371,906,,,
"",,,TOTAL:-,,,,820,564,1384,2,1,3
52,Government Boys High School Kanpur. (P),PALURA KALAN,178041005,,,,692,525,1217,,,
"",,PALURA KALAN,178041006,,,,192,137,329,,,
"",,MAHAL SHEIKHU PURA,178041010,,,,0,0,0,,,
"",,,TOTAL:-,,,,884,662,1546,1,1,2
5,Govt Girls Primary School Chaprarbala (Male) (P),CHAPRAR BALA,178041201,,,,535,,535,,,
"",,CHAPRAR BALA,178041202,,,,558,,558,,,
"",,KHUNJ PUR,178041203,,,,0,,0,,,
"",,,TOTAL:-,,,,1093,,1093,2,,2
54,Govt Girls Primary School Chaprarbala (Female) (P),CHAPRAR BALA,178041201,,,,,406,406,,,
"",,CHAPRAR BALA,178041202,,,,,410,410,,,
"",,KHUNJ PUR,178041203,,,,,0,0,,,
"",,,TOTAL:-,,,,,816,816,,2,2
55,Govt Boys Elementary School Chak Jogo. (Male) (P),NIDALA,178041204,,,,19,,19,,,
"",,CHAK JOGU,178041401,,,,410,,410,,,
"",,CHAK JOGU,178041402,,,,628,,628,,,
"",,CHAK JOGU,178041403,,,,404,,404,,,
"",,PARWAL,178041406,,,,269,,269,,,
"",,,TOTAL:-,,,,1730,,1730,3,,3
56,Govt. Girls Elementary School Chak Jogo. (Female) (P),NIDALA,178041204,,,,,12,12,,,
CHAK JOGU,178041401,,,,,288,288,,,,,
CHAK JOGU,178041402,,,,,415,415,,,,,
CHAK JOGU,178041403,,,,,301,301,,,,,
PARWAL,178041406,,,,,200,200,,,,,
"",TOTAL:-,,,,,1216,1216,,2,2,,
SEDRAH KHURD,178041301,,,,458,,458,,,,,
SEDRAH KHURD,178041302,,,,876,,876,,,,,
58,Govt Girls Elementary Schooll Saidara Khurd(Female) (P),SEDRAH KHURD,178041301,,,,,380,380,,,
"",,SEDRAH KHURD,178041302,,,,,682,682,,,
"",,,TOTAL:-,,,,,1062,1062,,2,2
59,Government Model Primary School Ahmal Pur(Male)(P),AHMAL PUR,178041303,,,,545,,545,,,
"",,AHMAL PUR,178041304,,,,398,,398,,,
"",,AHMAL PUR,178041305,,,,460,,460,,,
"",,,TOTAL:-,,,,1403,,1403,2,,2
60,"Government Model Primary School AhmalPur(Female)(P)",AHMAL PUR,178041303,,,,,400,400,,,
"",,AHMAL PUR,178041304,,,,,360,360,,,
"",,AHMAL PUR,178041305,,,,,326,326,,,
"",,,TOTAL:-,,,,,1086,1086,,2,2
61,"Government Boys High School Saidpur UmrayChak.(Male) (P)",CHAK LATKAN,178041306,,,,0,,0,,,
"",,CHAK UMRA,178041307,,,,102,,102,,,
"",,SEDRAH KALAN,178041308,,,,466,,466,,,
"",,SEDRAH KALAN,178041309,,,,629,,629,,,
"",,SEDRAH KALAN,178041310,,,,172,,172,,,
"",,,TOTAL:-,,,,1369,,1369,2,,2
62,"Government Boys High School Saidpur UmrayChak.(Female) (P)",CHAK LATKAN,178041306,,,,,0,0,,,
"",,CHAK UMRA,178041307,,,,,69,69,,,
"",,SEDRAH KALAN,178041308,,,,,401,401,,,
"",,SEDRAH KALAN,178041309,,,,,442,442,,,
"",,SEDRAH KALAN,178041310,,,,,118,118,,,
"",,,TOTAL:-,,,,,1030,1030,,2,2
63,Govt Girls Elementary School Rawal .(Male) (P),RAWAL,178041407,,,,904,,904,,,
RAWAL,178041408,,,,198,,198,,,,,
"",TOTAL:-,,,,1102,,1102,2,,2,,
RAWAL,178041407,,,,,735,735,,,,,
RAWAL,178041408,,,,,129,129,,,,,
65,Government Boys Primary School Sher Pur. (P),SHER PUR,178050101,,,,714,540,1254,,,
"",,,TOTAL:-,,,,714,540,1254,1,1,2
66,Government Girls Primary School Dinga (P),DINGA,178050201,,,,509,412,921,,,
"",,BEECHOWAL,178050203,,,,335,222,557,,,
"",,,TOTAL:-,,,,844,634,1478,1,1,2
67,Govt Boys Primary School Shadiwal. (P),SHADIWAL,178050202,,,,520,415,935,,,
"",,CHAK KHARANA,178050204,,,,408,294,702,,,
"",,,TOTAL:-,,,,928,709,1637,2,1,3
68,Govt.Model Primary School Rangpur Saroch (P),MAHAL LALOWAL,178050205,,,,2,1,3,,,
"",,TEH DARGAHI,178050206,,,,308,227,535,,,
"",,RANGPUR SAROCH,178050209,,,,693,481,1174,,,
"",,,TOTAL:-,,,,1003,709,1712,2,2,4
69,Govt Girls Elementary School Chak Putlian (P),CHAK PUTLIAN,178050207,,,,384,231,615,,,
"",,CHAK PUTLIAN,178050208,,,,514,375,889,,,
"",,,TOTAL:-,,,,898,606,1504,2,1,3
70,Govt.Model  Primary School Chak Kuba (P),CHAK KUBA,178050210,,,,245,187,432,,,
"",,CHAK KUBA,178050211,,,,765,579,1344,,,
"",,,TOTAL:-,,,,1010,766,1776,2,2,4
71,Govt Boys High School Marakiwal (Male) (P),MARAKEWAL,178050401,,,,633,,633,,,
"",,MARAKEWAL,178050402,,,,699,,699,,,
"",,,TOTAL:-,,,,1332,,1332,2,,2
72,Govt Boys High School Marakiwal (Female) (P),MARAKEWAL,178050401,,,,,590,590,,,
"",,MARAKEWAL,178050402,,,,,583,583,,,
"",,,TOTAL:-,,,,,1173,1173,,2,2
73,Govt Girls High School Marakiwal.(P),MARAKEWAL,178050403,,,,755,696,1451,,,
"",,,TOTAL:-,,,,755,696,1451,1,1,2
74,Govt Boys High School Marakiwal(Male)(P),MARAKEWAL,178050404,,,,443,,443,,,
"",,MARAKEWAL,178050405,,,,459,,459,,,
"",,SARFARAZ PUR,178050413,,,,315,,315,,,
"",,,TOTAL:-,,,,1217,,1217,2,,2
75,Govt Boys High School Marakiwal(Female)(P),MARAKEWAL,178050404,,,,,381,381,,,
"",,MARAKEWAL,178050405,,,,,413,413,,,
"",,SARFARAZ PUR,178050413,,,,,219,219,,,
"",,,TOTAL:-,,,,,1013,1013,,2,2
76,Govt Girls High School Marakiwal(Male)(P),CHAK SADEU,178050406,,,,585,,585,,,
CHAK SADEU,178050407,,,,677,,677,,,,,
CHAK SADEU,178050408,,,,123,,123,,,,,
"",TOTAL:-,,,,1385,,1385,2,,2,,
CHAK SADEU,178050406,,,,,521,521,,,,,
CHAK SADEU,178050407,,,,,491,491,,,,,
"",,,TOTAL:-,,,,,1131,1131,,2,2
78,Government Girls Primary School Bahera. (P),BAHERA,178050409,,,,575,455,1030,,,
"",,,TOTAL:-,,,,575,455,1030,1,1,2
79,Govt Boys Primary School Bhairi. (Male)(P),BHERI,178050410,,,,512,,512,,,
"",,BHERI,178050411,,,,505,,505,,,
"",,BHERI,178050412,,,,281,,281,,,
"",,,TOTAL:-,,,,1298,,1298,2,,2
80,Govt Boys Primary School Bhairi. (Female)(P),BHERI,178050410,,,,,429,429,,,
"",,BHERI,178050411,,,,,323,323,,,
"",,BHERI,178050412,,,,,199,199,,,
"",,,TOTAL:-,,,,,951,951,,2,2
81,GovernmentGirls Primary School Harnah. (P),HARNAH,178050501,,,,139,116,255,,,
"",,BADIAN,178051401,,,,106,75,181,,,
"",,SADHARI WALI,178051408,,,,117,89,206,,,
"",,DUNGAR PUR,178051606,,,,199,145,344,,,
"",,,TOTAL:-,,,,561,425,986,1,1,2
82,GovernmentGirls High School Turanwal. (P),CHAK CHOOR,178050502,,,,229,165,394,,,
"",,TURANWAL,178050807,,,,742,580,1322,,,
"",,,TOTAL:-,,,,971,745,1716,2,2,4
83,Government Boys High School Marala. (P),SAGRI PUR,178050503,,,,212,174,386,,,
MARALA,178050507,,,,402,329,731,,,,,
"",TOTAL:-,,,,614,503,1117,1,1,2,,
CHAK DUDH,178050504,,,,0,,0,,,,,
MAJWAL,178050506,,,,200,,200,,,,,
MUNWAR PUR,178050508,,,,277,,277,,,,,
PINDI LADOO,178050509,,,,706,,706,,,,,
85,Government Girls Primary School Pindi Lado.(Female)(P),CHAK DUDH,178050504,,,,,0,0,,,
"",,MAJWAL,178050506,,,,,144,144,,,
"",,MUNWAR PUR,178050508,,,,,205,205,,,
"",,PINDI LADOO,178050509,,,,,500,500,,,
"",,,TOTAL:-,,,,,849,849,,2,2
86,Government Boys Primary School Dhallewali (Male) (P),KULL,178050505,,,,94,,94,,,
"",,DHALE WALI,178050510,,,,570,,570,,,
"",,DHALE WALI,178050511,,,,138,,138,,,
"",,DHALE WALI,178050512,,,,201,,201,,,
